AsOfDate,TradeId,RiskFactor,MarketValue,Delta
2020-07-08,Trd_0,MSFT,99.04979516404973,6125.737499853467
2020-07-08,Trd_1,OXY,9.086285314577076,198.40912407208359
2020-07-08,Trd_2,AAPL,78.8265853749079,16132.143066487975
2020-07-08,Trd_3,MSFT,99.12460613761844,6216.607730554502
2020-07-08,Trd_4,OXY,0.7804608043178957,-349.0110935014283
2020-07-08,Trd_5,MSFT,72.94677601922521,7443.962270665605
2020-07-08,Trd_6,AAPL,93.64648532928335,-7574.225236651651
2020-07-08,Trd_7,AAPL,140.75384102653828,13001.702528225058
2020-07-08,Trd_8,AAPL,41.94715454086153,17355.954890561854
2020-07-08,Trd_9,AAPL,191.49844124151002,-5192.653223167279
2020-07-08,Trd_10,AAPL,96.70300009229557,-7605.906806047429
2020-07-08,Trd_11,AAPL,183.26275279077285,10807.005125778032
2020-07-08,Trd_12,AAPL,175.27414992717098,-5617.796069277105
2020-07-08,Trd_13,MSFT,67.96558826190838,-3891.3219198318156
2020-07-08,Trd_14,AAPL,103.4649648338187,-14801.879541674
2020-07-08,Trd_15,AAPL,150.1094661829378,-12689.779948378058
2020-07-08,Trd_16,AAPL,150.23488073324313,-6306.575653857212
2020-07-08,Trd_17,MSFT,111.88207239855436,5587.304771514566
2020-07-08,Trd_18,MSFT,116.13987877214191,5247.511307445358
2020-07-08,Trd_19,MSFT,57.66449195468303,8240.663497291822
