partition,output
3.2389720265889414e-09,Woodland Hills|CA|91371|33.7866|-118.2987|65351
6.477944053177883e-09,Greenville|MS|38702|33.4258|-90.9946|38797
9.716916079766825e-09,Atlanta|GA|30334|33.7489|-84.3872|900273
1.2955888106355766e-08,Miami|FL|33122|25.8001|-80.281|1737737
1.943383215953365e-08,Annapolis Junction|MD|20701|39.1332|-76.7988|2
2.591177621271153e-08,Bear Mountain|NY|10911|41.1609|-74.0608|2
3.238972026588942e-08,Rosedale|MS|38769|33.8432|-90.9923|2216
3.88676643190673e-08,Mather|WI|54641|43.9452|-90.0495|2
4.534560837224518e-08,New York City|NY|10173|40.7543|-73.9796|1577385
5.182355242542306e-08,Bismarck|ND|58505|46.8165|-100.7805|78133
5.8301496478600945e-08,El Paso|TX|79942|31.6948|-106.3|749635
6.477944053177883e-08,New York City|NY|10170|40.7526|-73.9755|1577385
7.125738458495672e-08,New York City|NY|10165|40.7524|-73.9791|1577385
7.773532863813461e-08,Tallahassee|FL|32399|30.4494|-84.291|245317
8.42132726913125e-08,Squirrel Island|ME|04570|44.0213|-69.5233|2
9.393018877107932e-08,Estcourt Station|ME|04741|46.5162|-68.8868|3
1.0364710485084614e-07,Los Angeles|CA|90095|33.7866|-118.2987|2383912
1.1336402093061296e-07,Kansas City|KS|66118|39.1011|-94.6144|150224
1.2308093701037978e-07,Earth City|MO|63045|38.7689|-90.4662|3
1.327978530901466e-07,Norwalk|CT|06856|41.1112|-73.4204|85422
1.4251476916991344e-07,New York City|NY|10103|40.7603|-73.9762|1577385
1.5547065727626922e-07,Nyssa|OR|97913|43.8604|-117.0251|5531
1.68426545382625e-07,Morristown|NJ|07961|40.7798|-74.4428|43751
1.8138243348898078e-07,Montgomeryville|PA|18936|40.2241|-75.231|4
1.9433832159533655e-07,Aransas Pass|TX|78335|27.9125|-97.1884|11953
2.0729420970169233e-07,Wray|CO|80758|40.0685|-102.393|3795
2.202500978080481e-07,Carlsbad|NM|88220|32.4119|-104.2395|33725
2.3320598591440389e-07,Hunt Valley|MD|21031|39.4805|-76.6553|4
2.4616187402075966e-07,Manchester|WA|98353|47.5952|-122.6225|4
2.623567341537044e-07,Wagoner|OK|74477|35.9636|-95.5139|15000
2.785515942866491e-07,Oysterville|WA|98641|46.5448|-124.0427|5
2.9474645441959383e-07,North Little Rock|AR|72119|34.8016|-92.2598|69370
3.141802865791275e-07,Monterey|CA|93943|36.597|-121.8741|31621
3.3361411873866116e-07,East Livermore|ME|04228|44.3994|-70.1303|6
3.530479508981948e-07,Wayne|NY|14893|42.4741|-77.0977|6
3.724817830577285e-07,Margie|MN|56658|48.0904|-93.8292|6
3.9191561521726216e-07,Amarillo|TX|79105|35.4015|-101.8951|220580
4.1458841940338477e-07,Memphis|TN|38132|35.072|-89.9886|697385
4.372612235895074e-07,Whites City|NM|88268|32.4828|-104.2873|7
4.5993402777563e-07,Hollins|AL|35082|33.1162|-86.1386|7
4.826068319617526e-07,Anchorage|AK|99695|61.1089|-149.4403|242037
5.052796361478752e-07,Middleburg|VA|20118|39.0075|-77.7656|2700
5.279524403339978e-07,Silver|TX|76949|32.0484|-100.6922|7
5.506252445201204e-07,Bowman|ND|58623|46.1733|-103.402|2370
5.76537020732832e-07,Frederick|MD|21705|39.47|-77.3921|120323
6.024487969455435e-07,Oriskany|VA|24130|37.5551|-79.7862|8
6.283605731582551e-07,Richvale|CA|95974|39.4959|-121.748|8
6.542723493709666e-07,Washington|DC|20535|38.8941|-77.0251|601723
6.801841255836782e-07,South Lake Tahoe|CA|96155|38.8449|-120.043|29800
7.093348738229787e-07,Silver Gate|MT|59081|45.0046|-109.9854|9
7.384856220622792e-07,Upton|NY|11973|40.8678|-72.8822|9
7.676363703015797e-07,New York City|NY|10199|40.7503|-74.0006|1577385
7.967871185408802e-07,Fort Benning|GA|31905|32.3923|-84.9315|16044
8.259378667801807e-07,Nara Visa|NM|88430|35.618|-103.1317|162
8.550886150194812e-07,Frenchmans Bayou|AR|72338|35.4591|-90.1884|52
8.842393632587817e-07,Warwick|MD|21912|39.4283|-75.7996|1240
9.166290835246711e-07,Minneapolis|MN|55450|44.8811|-93.2207|1022298
9.490188037905606e-07,Nantucket|MA|02584|41.2778|-70.046|9862
9.8140852405645e-07,Pep|TX|79353|33.8104|-102.5656|10
1.0137982443223394e-06,Chicken|AK|99732|63.8706|-144.0026|10
1.0461879645882288e-06,Charlotte|NC|28280|35.26|-80.8042|790689
1.0785776848541182e-06,Masterson|TX|79058|35.8378|-101.8928|10
1.1109674051200077e-06,Okeana|OH|45053|39.3537|-84.7761|3420
1.1433571253858971e-06,Phelps|WI|54554|46.0645|-89.0815|1120
1.1757468456517866e-06,Arminto|WY|82630|42.9662|-106.807|10
1.208136565917676e-06,Monarch|CO|81227|38.5458|-106.2434|10
1.2405262861835655e-06,Naples|FL|34101|25.8555|-81.3872|276002
1.2761549784760439e-06,Fairacres|NM|88033|32.2984|-106.8812|11
1.3117836707685222e-06,Valmora|NM|87750|35.794|-104.9116|11
1.3474123630610006e-06,Universal City|TX|78150|29.4375|-98.4616|20150
1.383041055353479e-06,Hamburg|IA|51640|40.6149|-95.6258|1748
1.4219087196725463e-06,Sheridan|WY|82801|44.7849|-106.9648|24558
1.4607763839916137e-06,Allentown|PA|18105|40.6934|-75.4712|166081
1.499644048310681e-06,Winterthur|DE|19735|39.7944|-75.5976|12
1.5385117126297483e-06,Ludlow|CA|92338|34.9329|-115.8025|12
1.5773793769488157e-06,Waldron|KS|67150|37.073|-98.2289|12
1.616247041267883e-06,Fort Harrison|MT|59636|46.6197|-112.1099|12
1.6551147055869503e-06,Millston|WI|54643|44.1869|-90.6358|12
1.6972213419326066e-06,Baton Rouge|LA|70801|30.4492|-91.1856|378909
1.7393279782782629e-06,Sunnyside|FL|32461|30.2525|-85.9424|13
1.7814346146239192e-06,Hulls Cove|ME|04644|44.6419|-68.3915|13
1.8235412509695754e-06,Camp Murray|WA|98430|47.0662|-122.1132|13
1.8656478873152317e-06,Fairbanks|AK|99706|64.8521|-147.9377|63999
1.9077545236608878e-06,Philadelphia|PA|19112|39.8893|-75.1782|1526206
1.949861160006544e-06,Barry|MN|56210|45.5593|-96.5589|13
1.9952067683787893e-06,Reeder|ND|58649|46.1116|-102.9405|321
2.0405523767510345e-06,Frontier|WY|83121|41.796|-110.5373|14
2.0858979851232797e-06,Wolf Lake|MN|56593|46.8035|-95.3535|14
2.131243593495525e-06,Arlington|CO|81021|38.4068|-103.3697|14
2.17658920186777e-06,Fort Stanton|NM|88323|33.6444|-105.874|14
2.2219348102400154e-06,Pawtucket|RI|02861|41.8814|-71.356|71377
2.2672804186122606e-06,Vidal|CA|92280|34.1561|-114.5656|14
2.312626026984506e-06,Saint Charles|SD|57571|43.0852|-99.0925|14
