CustomerId,CompanyName,Address,City,Region,PostalCode,Country,Phone
c883,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10
c939,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,0251-031259
c995,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091
c1051,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86
c1107,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20
c1163,Chop-suey Chinese,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545
c1219,Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214
c1275,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122
c1331,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340
c1387,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,7675-3425
c1443,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico,(5) 555-3392
c1499,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327
c1555,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252
c1611,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939
c1667,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21
c1723,Blondesddsl père et fils,"24, place Kléber",Strasbourg,,67000,France,88.60.15.31
c1779,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,981-443655
c1835,Frankenversand,Berliner Platz 43,München,,80805,Germany,089-0877310
c1891,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951
c1947,White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112
c2003,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680
c2059,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany,0372-035188
c2115,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230
c2171,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico,(5) 555-2933
c2227,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,4179,Germany,0342-023176
c2283,Berglunds snabbköp,Berguvsvägen 8,Luleå,,S-958 22,Sweden,0921-12 34 65
c2339,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984
c2395,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain,(91) 745 6200
c2451,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954
c2507,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412
c2563,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy,0522-556721
c2619,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212
