SalesId,Date,RouteId,AirlineId,BookingsBusinessClass,UnitPriceBusinessClass(dollars),BookingsPremiumEconomyClass,UnitPricePremiumEconomyClass(dollars),BookingsEconomyClass,UnitPriceEconomyClass(dollars),Total
sales001,05-01-2020,r001,AA,8,932,20,925,128,923,144100
sales001,05-01-2020,r018,WN,1,469.52,48,462.52,43,460.52,42472.84
sales001,05-01-2020,r008,G4,1,124.08,6,117.08,37,115.08,5084.52
sales001,05-01-2020,r021,WN,1,900.72,11,893.72,45,891.72,50859.04
sales002,06-01-2020,r024,G4,1,932,22,925,14,923,34204
sales002,06-01-2020,r011,G4,1,176.4,30,169.4,10,167.4,6932.4
sales002,06-01-2020,r005,UA,1,1534,20,1527,7,1525,42749
sales002,06-01-2020,r021,UA,2,590.16,26,583.16,26,581.16,31452.64
sales003,07-01-2020,r019,WN,1,1007.6,7,1000.6,42,998.6,49953
sales003,07-01-2020,r023,G4,1,590.16,18,583.16,39,581.16,33752.28
sales003,07-01-2020,r003,UA,3,162.8,19,155.8,13,153.8,5448
sales003,07-01-2020,r013,AA,4,108.08,31,101.08,15,99.08,5052
sales004,08-01-2020,r012,UA,11,780.24,35,773.24,35,771.24,62639.44
sales004,08-01-2020,r018,WN,1,469.52,48,462.52,43,460.52,42472.84
sales004,08-01-2020,r015,WN,1,1589.68,30,1582.68,14,1580.68,71199.6
sales004,08-01-2020,r021,UA,1,590.16,25,583.16,19,581.16,26211.2
sales005,09-01-2020,r001,WN,1,1007.6,39,1000.6,32,998.6,71986.2
sales005,09-01-2020,r005,WN,1,162.8,5,155.8,40,153.8,7093.8
sales005,09-01-2020,r009,G4,1,242,40,235,20,233,14302
sales005,09-01-2020,r002,WN,7,900.72,20,893.72,100,891.72,113351.44
sales006,10-01-2020,r013,G4,1,108.08,38,101.08,40,99.08,7912.32
sales006,10-01-2020,r008,G4,1,124.08,25,117.08,36,115.08,7193.96
sales006,10-01-2020,r021,AA,4,631.28,15,624.28,40,622.28,36780.52
sales006,10-01-2020,r024,G4,1,932,4,925,8,923,12016
sales007,11-01-2020,r017,WN,1,1678.48,32,1671.48,17,1669.48,83547
sales007,11-01-2020,r003,UA,15,162.8,6,155.8,34,153.8,8606
sales007,11-01-2020,r018,WN,1,469.52,15,462.52,41,460.52,26288.64
sales007,11-01-2020,r011,G4,1,176.4,30,169.4,10,167.4,6932.4
sales008,12-01-2020,r011,WN,1,176.4,37,169.4,30,167.4,11466.2
sales008,12-01-2020,r016,AA,3,1906.16,7,1899.16,22,1897.16,60750.12
sales008,12-01-2020,r002,AA,8,187.44,20,180.44,127,178.44,27770.2
sales008,12-01-2020,r019,G4,1,1007.6,38,1000.6,18,998.6,57005.2
sales009,13-01-2020,r005,G4,1,1687.92,6,1680.92,8,1678.92,25204.8
sales009,13-01-2020,r022,WN,1,642.96,46,635.96,21,633.96,43210.28
sales009,13-01-2020,r007,UA,26,58.8,2,51.8,18,49.8,2528.8
sales009,13-01-2020,r023,AA,7,1687.92,5,1680.92,30,1678.92,70587.64
sales010,14-01-2020,r002,AA,1,187.44,5,180.44,20,178.44,4658.44
sales010,14-01-2020,r004,WN,8,932,20,925,128,923,144100
sales010,14-01-2020,r006,WN,1,1534,9,1527,14,1525,36627
sales010,14-01-2020,r004,G4,1,187.44,21,180.44,32,178.44,9686.76
sales011,15-01-2020,r005,UA,13,1534,15,1527,21,1525,74872
sales011,15-01-2020,r011,UA,26,176.4,30,169.4,46,167.4,17368.8
sales011,15-01-2020,r019,WN,1,1007.6,31,1000.6,26,998.6,57989.8
sales011,15-01-2020,r016,UA,2,1906.16,38,1899.16,32,1897.16,136689.52
sales012,16-01-2020,r012,AA,6,780.24,15,773.24,29,771.24,38646
sales012,16-01-2020,r015,WN,1,1589.68,17,1582.68,10,1580.68,44302.04
sales012,16-01-2020,r018,WN,1,469.52,42,462.52,17,460.52,27724.2
sales012,16-01-2020,r015,WN,1,1589.68,30,1582.68,14,1580.68,71199.6
sales013,17-01-2020,r015,AA,3,1589.68,15,1582.68,19,1580.68,58542.16
sales013,17-01-2020,r018,AA,8,469.52,9,462.52,23,460.52,18510.8
sales013,17-01-2020,r010,AA,4,613.52,37,606.52,11,604.52,31545.04
sales013,17-01-2020,r005,WN,1,162.8,20,155.8,46,153.8,10353.6
sales014,18-01-2020,r019,G4,1,1007.6,8,1000.6,10,998.6,18998.4
sales014,18-01-2020,r008,AA,4,124.08,23,117.08,38,115.08,7562.2
sales014,18-01-2020,r023,WN,1,590.16,49,583.16,10,581.16,34976.6
sales014,18-01-2020,r008,WN,7,124.08,19,117.08,128,115.08,17823.32
sales015,19-01-2020,r013,WN,1,108.08,51,101.08,12,99.08,6452.12
sales015,19-01-2020,r023,AA,1,1687.92,44,1680.92,17,1678.92,104190.04
sales015,19-01-2020,r001,WN,3,1007.6,4,1000.6,29,998.6,35984.6
sales015,19-01-2020,r010,AA,2,613.52,28,606.52,32,604.52,37554.24
sales016,20-01-2020,r003,AA,5,162.8,48,155.8,21,153.8,11522.2
sales016,20-01-2020,r022,WN,7,642.96,20,635.96,125,633.96,96464.92
sales016,20-01-2020,r005,UA,8,1534,12,1527,28,1525,73296
sales016,20-01-2020,r009,WN,1,242,30,235,35,233,15447
sales017,21-01-2020,r003,AA,7,162.8,24,155.8,38,153.8,10723.2
sales017,21-01-2020,r004,UA,7,1687.92,3,1680.92,44,1678.92,90730.68
sales017,21-01-2020,r016,AA,6,1906.16,4,1899.16,29,1897.16,74051.24
sales017,21-01-2020,r013,WN,1,108.08,37,101.08,32,99.08,7018.6
sales018,22-01-2020,r003,WN,1,590.16,12,583.16,17,581.16,17467.8
sales018,22-01-2020,r023,WN,1,590.16,1,583.16,35,581.16,21513.92
sales018,22-01-2020,r006,WN,1,1534,36,1527,31,1525,103781
sales018,22-01-2020,r015,UA,3,1589.68,45,1582.68,22,1580.68,110764.6
sales019,23-01-2020,r003,WN,1,590.16,15,583.16,10,581.16,15149.16
sales019,23-01-2020,r021,G4,1,900.72,22,893.72,24,891.72,41963.84
sales019,23-01-2020,r001,G4,1,368.56,2,361.56,45,359.56,17271.88
sales019,23-01-2020,r016,AA,1,1906.16,28,1899.16,12,1897.16,77848.56
sales020,24-01-2020,r010,AA,3,613.52,40,606.52,45,604.52,53304.76
sales020,24-01-2020,r002,WN,7,900.72,20,893.72,100,891.72,113351.44
sales020,24-01-2020,r003,WN,1,590.16,30,583.16,15,581.16,26802.36
sales020,24-01-2020,r007,WN,1,58.8,16,51.8,21,49.8,1933.4
sales021,25-01-2020,r018,AA,8,469.52,9,462.52,23,460.52,18510.8
sales021,25-01-2020,r013,AA,1,108.08,7,101.08,32,99.08,3986.2
sales021,25-01-2020,r017,G4,1,1678.48,48,1671.48,28,1669.48,128654.96
sales021,25-01-2020,r004,AA,8,1687.92,34,1680.92,38,1678.92,134453.6
sales022,26-01-2020,r009,UA,12,242,16,235,32,233,14120
sales022,26-01-2020,r021,UA,1,590.16,25,583.16,19,581.16,26211.2
sales022,26-01-2020,r002,WN,1,900.72,50,893.72,25,891.72,67879.72
sales022,26-01-2020,r007,WN,7,58.8,19,51.8,128,49.8,7770.2
sales023,27-01-2020,r019,UA,6,1007.6,38,1000.6,13,998.6,57050.2
sales023,27-01-2020,r020,AA,8,642.96,5,635.96,40,633.96,33681.88
sales023,27-01-2020,r008,WN,1,124.08,17,117.08,43,115.08,7062.88
sales023,27-01-2020,r019,G4,1,1007.6,38,1000.6,18,998.6,57005.2
sales024,28-01-2020,r003,WN,1,590.16,30,583.16,15,581.16,26802.36
sales024,28-01-2020,r005,WN,1,162.8,43,155.8,36,153.8,12399
sales024,28-01-2020,r008,WN,1,124.08,50,117.08,45,115.08,11156.68
sales024,28-01-2020,r010,UA,7,613.52,19,606.52,127,604.52,92592.56
sales025,29-01-2020,r003,G4,1,631.28,16,624.28,18,622.28,21820.8
sales025,29-01-2020,r024,WN,1,631.28,36,624.28,11,622.28,29950.44
sales025,29-01-2020,r004,G4,1,187.44,21,180.44,32,178.44,9686.76
sales025,29-01-2020,r007,AA,2,58.8,13,51.8,38,49.8,2683.4
sales026,30-01-2020,r007,WN,1,58.8,34,51.8,19,49.8,2766.2
sales026,30-01-2020,r009,UA,8,242,40,235,15,233,14831
sales026,30-01-2020,r017,AA,1,1678.48,5,1671.48,9,1669.48,25061.2
sales026,30-01-2020,r002,WN,1,900.72,5,893.72,10,891.72,14286.52
sales027,31-01-2020,r019,WN,1,1007.6,22,1000.6,7,998.6,30011
sales027,31-01-2020,r019,G4,1,1007.6,11,1000.6,42,998.6,53955.4
sales027,31-01-2020,r021,AA,5,631.28,9,624.28,13,622.28,16864.56
sales027,31-01-2020,r013,UA,20,108.08,47,101.08,12,99.08,8101.32
sales028,01-02-2020,r002,AA,8,187.44,17,180.44,31,178.44,10098.64
sales028,01-02-2020,r005,WN,1,162.8,19,155.8,12,153.8,4968.6
sales028,01-02-2020,r009,WN,1,242,23,235,16,233,9375
sales028,01-02-2020,r016,WN,3,1906.16,40,1899.16,14,1897.16,108245.12
sales029,02-02-2020,r011,UA,26,176.4,30,169.4,46,167.4,17368.8
sales029,02-02-2020,r006,UA,7,677.04,20,670.04,125,668.04,101645.08
sales029,02-02-2020,r007,UA,19,58.8,10,51.8,38,49.8,3527.6
sales029,02-02-2020,r009,AA,7,242,42,235,15,233,15059
sales030,03-02-2020,r013,AA,5,108.08,1,101.08,46,99.08,5199.16
sales030,03-02-2020,r021,UA,4,590.16,31,583.16,37,581.16,41941.52
sales030,03-02-2020,r013,WN,1,108.08,51,101.08,12,99.08,6452.12
