CombatID,Season,LocationID,Tickets Sold,Date
1,1,1,1959,18/2/3001
2,1,2,1921,18/2/3001
3,1,3,1936,18/2/3001
4,1,4,1737,18/2/3001
5,1,5,1971,18/2/3001
6,1,6,1753,18/2/3001
7,1,7,1947,18/2/3001
8,1,8,2000,18/2/3001
9,1,9,1260,18/2/3001
10,1,7,1952,18/2/3001
11,1,10,2000,18/2/3001
12,1,11,1990,18/2/3001
13,1,7,1954,18/2/3001
14,1,4,1868,18/2/3001
15,1,12,1994,18/2/3001
16,1,8,1998,18/2/3001
17,1,3,1988,18/2/3001
18,1,4,1904,18/2/3001
19,1,7,1932,18/2/3001
20,1,5,2000,18/2/3001
21,1,9,1667,18/2/3001
22,1,7,1979,18/2/3001
23,1,3,1896,18/2/3001
24,1,13,1921,18/2/3001
25,1,5,2000,18/2/3001
26,1,10,1931,18/2/3001
27,1,14,1476,18/2/3001
28,1,7,1905,18/2/3001
29,1,9,1300,18/2/3001
30,1,6,1745,18/2/3001
31,1,15,1865,18/2/3001
32,1,13,1912,18/2/3001
33,1,5,2000,18/2/3001
34,1,2,1969,18/2/3001
35,1,13,2000,18/2/3001
36,1,7,1889,18/2/3001
37,1,7,1947,18/2/3001
38,1,11,1980,18/2/3001
39,1,4,1839,18/2/3001
40,1,5,1996,18/2/3001
41,1,9,1232,18/2/3001
42,1,14,1293,18/2/3001
43,1,10,1989,18/2/3001
44,1,1,1998,18/2/3001
45,1,4,1830,18/2/3001
46,1,4,1750,18/2/3001
47,1,10,2000,18/2/3001
48,1,14,1872,18/2/3001
49,1,15,1838,18/2/3001
50,1,12,1996,18/2/3001
51,1,16,1885,18/2/3001
52,1,15,1757,18/2/3001
53,1,8,1949,18/2/3001
54,1,16,1805,18/2/3001
55,1,2,1941,18/2/3001
56,1,11,1968,18/2/3001
57,1,7,1913,18/2/3001
58,1,12,1943,18/2/3001
59,1,5,2000,18/2/3001
60,1,12,1960,18/2/3001
61,1,4,1760,18/2/3001
62,1,3,1895,18/2/3001
63,1,12,1922,18/2/3001
64,1,2,1959,18/2/3001
65,1,12,2000,18/2/3001
66,1,4,1886,18/2/3001
67,1,13,1891,18/2/3001
68,1,7,1991,18/2/3001
69,1,15,1796,18/2/3001
70,1,13,2000,18/2/3001
71,1,15,1791,18/2/3001
72,1,4,1887,18/2/3001
73,1,10,1934,18/2/3001
74,1,2,1977,18/2/3001
75,1,9,1505,18/2/3001
76,1,16,1788,18/2/3001
77,1,8,1956,18/2/3001
78,1,4,1871,18/2/3001
79,1,7,1969,18/2/3001
80,1,11,2000,18/2/3001
81,1,14,1733,18/2/3001
82,1,2,1984,18/2/3001
83,1,4,1716,18/2/3001
84,1,12,1933,18/2/3001
85,1,4,1724,18/2/3001
86,1,2,1990,18/2/3001
87,1,1,2000,18/2/3001
88,1,15,1866,18/2/3001
89,1,15,1771,18/2/3001
90,1,4,1740,18/2/3001
91,1,11,1963,18/2/3001
92,1,10,1968,18/2/3001
93,1,17,1986,18/2/3001
94,1,3,1960,18/2/3001
95,1,3,1955,18/2/3001
96,1,6,1880,18/2/3001
97,1,4,1816,18/2/3001
98,1,11,2000,18/2/3001
99,1,5,1975,18/2/3001
100,1,12,2000,18/2/3001
101,1,10,2000,19/2/3001
102,1,1,1960,19/2/3001
103,1,10,2000,19/2/3001
104,1,4,1907,19/2/3001
105,1,5,1951,19/2/3001
106,1,2,1994,19/2/3001
107,1,9,1252,19/2/3001
108,1,4,1823,19/2/3001
109,1,6,1713,19/2/3001
110,1,5,2000,19/2/3001
111,1,12,1997,19/2/3001
112,1,17,1920,19/2/3001
113,1,5,2000,19/2/3001
114,1,6,1832,19/2/3001
115,1,11,1974,19/2/3001
116,1,8,1936,19/2/3001
117,1,11,2000,19/2/3001
118,1,17,1983,19/2/3001
119,1,2,1985,19/2/3001
120,1,11,2000,19/2/3001
121,1,4,1713,19/2/3001
122,1,9,1692,19/2/3001
123,1,8,1927,19/2/3001
124,1,2,1945,19/2/3001
125,1,11,2000,19/2/3001
126,1,13,1937,19/2/3001
127,1,15,1770,19/2/3001
128,1,9,1709,19/2/3001
129,1,10,1921,19/2/3001
130,1,1,1879,19/2/3001
131,1,4,1706,19/2/3001
132,1,3,1904,19/2/3001
133,1,4,1803,19/2/3001
134,1,5,2000,19/2/3001
135,1,6,1882,19/2/3001
136,1,5,1948,19/2/3001
137,1,5,1971,19/2/3001
138,1,1,1942,19/2/3001
139,1,13,1997,19/2/3001
140,1,14,1581,19/2/3001
141,1,10,1911,19/2/3001
142,1,6,1822,19/2/3001
143,1,7,1914,19/2/3001
144,1,1,1823,19/2/3001
145,1,10,1934,19/2/3001
146,1,4,1743,19/2/3001
147,1,10,1967,19/2/3001
148,1,10,1962,19/2/3001
149,1,11,2000,19/2/3001
150,1,13,1972,19/2/3001
151,1,14,1375,19/2/3001
152,1,3,1900,19/2/3001
153,1,7,2000,19/2/3001
154,1,14,1501,19/2/3001
155,1,12,1999,19/2/3001
156,1,3,1909,19/2/3001
157,1,7,2000,19/2/3001
158,1,13,1985,19/2/3001
159,1,15,1833,19/2/3001
160,1,3,1924,19/2/3001
161,1,1,1804,19/2/3001
162,1,10,1927,19/2/3001
163,1,6,1716,19/2/3001
164,1,17,1934,19/2/3001
165,1,11,2000,19/2/3001
166,1,13,1967,19/2/3001
