national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,is_sublegendary,is_legendary,is_mythical
1,I,Bulbasaur,Fushigidane,grass,poison,Seed,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,0,0,0
2,I,Ivysaur,Fushigisou,grass,poison,Seed,88.14,11.86,1,13,45,5120,60,62,63,80,80,60,0,0,0
3,I,Venusaur,Fushigibana,grass,poison,Seed,88.14,11.86,2,100,45,5120,80,82,83,100,100,80,0,0,0
4,I,Charmander,Hitokage,fire,,Lizard,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,0,0,0
5,I,Charmeleon,Lizardo,fire,,Flame,88.14,11.86,1.1,19,45,5120,58,64,58,80,65,80,0,0,0
6,I,Charizard,Lizardon,fire,flying,Flame,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,0,0,0
7,I,Squirtle,Zenigame,water,,Tiny Turtle,88.14,11.86,0.5,9,45,5120,44,48,65,50,64,43,0,0,0
8,I,Wartortle,Kameil,water,,Turtle,88.14,11.86,1,22.5,45,5120,59,63,80,65,80,58,0,0,0
9,I,Blastoise,Kamex,water,,Shellfish,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,0,0,0
10,I,Caterpie,Caterpie,bug,,Worm,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,0,0,0
11,I,Metapod,Transel,bug,,Cocoon,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,0,0,0
12,I,Butterfree,Butterfree,bug,flying,Butterfly,50.2,49.8,1.1,32,45,3840,60,45,50,90,80,70,0,0,0
13,I,Weedle,Beedle,bug,poison,Hairy,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,0,0,0
14,I,Kakuna,Cocoon,bug,poison,Cocoon,50,50,0.6,10,120,3840,45,25,50,25,25,35,0,0,0
15,I,Beedrill,Spear,bug,poison,Poison Bee,50,50,1,29.5,45,3840,65,90,40,45,80,75,0,0,0
16,I,Pidgey,Poppo,normal,flying,Tiny Bird,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,0,0,0
17,I,Pidgeotto,Pigeon,normal,flying,Bird,50,50,1.1,30,120,3840,63,60,55,50,50,71,0,0,0
18,I,Pidgeot,Pigeot,normal,flying,Bird,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,0,0,0
19,I,Rattata,Koratta,normal,dark,Mouse,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,0,0,0
20,I,Raticate,Ratta,normal,dark,Mouse,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,0,0,0
21,I,Spearow,Onisuzume,normal,flying,Tiny Bird,50,50,0.3,2,255,3840,40,60,30,31,31,70,0,0,0
22,I,Fearow,Onidrill,normal,flying,Beak,50,50,1.2,38,90,3840,65,90,65,61,61,100,0,0,0
23,I,Ekans,Arbo,poison,,Snake,50,50,2,6.9,255,5120,35,60,44,40,54,55,0,0,0
24,I,Arbok,Arbok,poison,,Cobra,50,50,3.5,65,90,5120,60,95,69,65,79,80,0,0,0
25,I,Pikachu,Pikachu,electric,,Mouse,50.2,49.8,0.4,6,190,2560,35,55,40,50,50,90,0,0,0
26,I,Raichu,Raichu,electric,electric,Mouse,50.2,49.8,0.8,30,75,2560,60,90,55,90,80,110,0,0,0
27,I,Sandshrew,Sand,ground,ice,Mouse,50.2,49.8,0.6,12,255,5120,50,75,85,20,30,40,0,0,0
28,I,Sandslash,Sandpan,ground,ice,Mouse,50.2,49.8,1,29.5,90,5120,75,100,110,45,55,65,0,0,0
29,I,Nidoran,Nidoran,poison,,Poison Pin,0,100,0.4,7,235,5120,55,47,52,40,40,41,0,0,0
30,I,Nidorina,Nidorina,poison,,Poison Pin,0,100,0.8,20,120,5120,70,62,67,55,55,56,0,0,0
31,I,Nidoqueen,Nidoqueen,poison,ground,Drill,0,100,1.3,60,45,5120,90,92,87,75,85,76,0,0,0
32,I,Nidoran,Nidoran,poison,,Poison Pin,100,0,0.5,9,235,5120,46,57,40,40,40,50,0,0,0
33,I,Nidorino,Nidorino,poison,,Poison Pin,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,0,0,0
34,I,Nidoking,Nidoking,poison,ground,Drill,100,0,1.4,62,45,5120,81,102,77,85,75,85,0,0,0
35,I,Clefairy,Pippi,fairy,,Fairy,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,0,0,0
36,I,Clefable,Pixy,fairy,,Fairy,24.9,75.1,1.3,40,25,2560,95,70,73,95,90,60,0,0,0
37,I,Vulpix,Rokon,fire,ice,Fox,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,0,0,0
38,I,Ninetales,Kyukon,fire,ice,Fox,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,0,0,0
39,I,Jigglypuff,Purin,normal,fairy,Balloon,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,0,0,0
40,I,Wigglytuff,Pukurin,normal,fairy,Balloon,24.9,75.1,1,12,50,2560,140,70,45,85,50,45,0,0,0
41,I,Zubat,Zubat,poison,flying,Bat,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,0,0,0
42,I,Golbat,Golbat,poison,flying,Bat,50.2,49.8,1.6,55,90,3840,75,80,70,65,75,90,0,0,0
43,I,Oddish,Nazonokusa,grass,poison,Weed,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,0,0,0
44,I,Gloom,Kusaihana,grass,poison,Weed,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,0,0,0
45,I,Vileplume,Ruffresia,grass,poison,Flower,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,0,0,0
46,I,Paras,Paras,bug,grass,Mushroom,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,0,0,0
47,I,Parasect,Parasect,bug,grass,Mushroom,50,50,1,29.5,75,5120,60,95,80,60,80,30,0,0,0
48,I,Venonat,Kongpang,bug,poison,Insect,50,50,1,30,190,5120,60,55,50,40,55,45,0,0,0
49,I,Venomoth,Morphon,bug,poison,Poison Moth,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,0,0,0
50,I,Diglett,Digda,ground,ground,Mole,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,0,0,0
51,I,Dugtrio,Dugtrio,ground,ground,Mole,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,0,0,0
52,I,Meowth,Nyarth,normal,dark,Scratch Cat,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,0,0,0
53,I,Persian,Persian,normal,dark,Classy Cat,50.2,49.8,1,32,90,5120,65,70,60,65,65,115,0,0,0
54,I,Psyduck,Koduck,water,,Duck,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,0,0,0
55,I,Golduck,Golduck,water,,Duck,50.2,49.8,1.7,76.6,75,5120,80,82,78,95,80,85,0,0,0
56,I,Mankey,Mankey,fighting,,Pig Monkey,50,50,0.5,28,190,5120,40,80,35,35,45,70,0,0,0
57,I,Primeape,Okorizaru,fighting,,Pig Monkey,50,50,1,32,75,5120,65,105,60,60,70,95,0,0,0
58,I,Growlithe,Gardie,fire,,Puppy,75.49,24.51,0.7,19,190,5120,55,70,45,70,50,60,0,0,0
59,I,Arcanine,Windie,fire,,Legendary,75.49,24.51,1.9,155,75,5120,90,110,80,100,80,95,0,0,0
60,I,Poliwag,Nyoromo,water,,Tadpole,50.2,49.8,0.6,12.4,255,5120,40,50,40,40,40,90,0,0,0
61,I,Poliwhirl,Nyorozo,water,,Tadpole,50.2,49.8,1,20,120,5120,65,65,65,50,50,90,0,0,0
62,I,Poliwrath,Nyorobon,water,fighting,Tadpole,50.2,49.8,1.3,54,45,5120,90,95,95,70,90,70,0,0,0
63,I,Abra,Casey,psychic,,Psi,75.49,24.51,0.9,19.5,200,5120,25,20,15,105,55,90,0,0,0
64,I,Kadabra,Yungerer,psychic,,Psi,75.49,24.51,1.3,56.5,100,5120,40,35,30,120,70,105,0,0,0
65,I,Alakazam,Foodin,psychic,,Psi,75.49,24.51,1.5,48,50,5120,55,50,45,135,95,120,0,0,0
66,I,Machop,Wanriky,fighting,,Superpower,75.49,24.51,0.8,19.5,180,5120,70,80,50,35,35,35,0,0,0
67,I,Machoke,Goriky,fighting,,Superpower,75.49,24.51,1.5,70.5,90,5120,80,100,70,50,60,45,0,0,0
68,I,Machamp,Kairiky,fighting,,Superpower,75.49,24.51,1.6,130,45,5120,90,130,80,65,85,55,0,0,0
69,I,Bellsprout,Madatsubomi,grass,poison,Flower,50,50,0.7,4,255,5120,50,75,35,70,30,40,0,0,0
70,I,Weepinbell,Utsudon,grass,poison,Flycatcher,50,50,1,6.4,120,5120,65,90,50,85,45,55,0,0,0
71,I,Victreebel,Utsubot,grass,poison,Flycatcher,50,50,1.7,15.5,45,5120,80,105,65,100,70,70,0,0,0
72,I,Tentacool,Menokurage,water,poison,Jellyfish,50.2,49.8,0.9,45.5,190,5120,40,40,35,50,100,70,0,0,0
73,I,Tentacruel,Dokukurage,water,poison,Jellyfish,50.2,49.8,1.6,55,60,5120,80,70,65,80,120,100,0,0,0
74,I,Geodude,Isitsubute,rock,ground,Rock,50,50,0.4,20,255,3840,40,80,100,30,30,20,0,0,0
75,I,Graveler,Golone,rock,ground,Rock,50,50,1,105,120,3840,55,95,115,45,45,35,0,0,0
76,I,Golem,Golonya,rock,ground,Megaton,50,50,1.4,300,45,3840,80,120,130,55,65,45,0,0,0
77,I,Ponyta,Ponyta,fire,psychic,Fire Horse,50.2,49.8,1,30,190,5120,50,85,55,65,65,90,0,0,0
78,I,Rapidash,Gallop,fire,psychic,Fire Horse,50.2,49.8,1.7,95,60,5120,65,100,70,80,80,105,0,0,0
79,I,Slowpoke,Yadon,water,psychic,Dopey,50.2,49.8,1.2,36,190,5120,90,65,65,40,40,15,0,0,0
80,I,Slowbro,Yadoran,water,psychic,Hermit Crab,50.2,49.8,1.6,78.5,75,5120,95,75,110,100,80,30,0,0,0
81,I,Magnemite,Coil,electric,steel,Magnet,,,0.3,6,190,5120,25,35,70,95,55,45,0,0,0
82,I,Magneton,Rarecoil,electric,steel,Magnet,,,1,60,60,5120,50,60,95,120,70,70,0,0,0
83,I,Farfetch'd,Kamonegi,normal,flying,Wild Duck,50.2,49.8,0.8,15,45,5120,52,90,55,58,62,60,0,0,0
84,I,Doduo,Dodo,normal,flying,Twin Bird,50,50,1.4,39.2,190,5120,35,85,45,35,35,75,0,0,0
85,I,Dodrio,Dodorio,normal,flying,Triple Bird,50,50,1.8,85.2,45,5120,60,110,70,60,60,110,0,0,0
86,I,Seel,Pawou,water,,Sea Lion,50,50,1.1,90,190,5120,65,45,55,45,70,45,0,0,0
87,I,Dewgong,Jugon,water,ice,Sea Lion,50,50,1.7,120,75,5120,90,70,80,70,95,70,0,0,0
88,I,Grimer,Betbeter,poison,poison,Sludge,50,50,0.9,30,190,5120,80,80,50,40,50,25,0,0,0
89,I,Muk,Betbeton,poison,poison,Sludge,50,50,1.2,30,75,5120,105,105,75,65,100,50,0,0,0
90,I,Shellder,Shellder,water,,Bivalve,50.2,49.8,0.3,4,190,5120,30,65,100,45,25,40,0,0,0
91,I,Cloyster,Parshen,water,ice,Bivalve,50.2,49.8,1.5,132.5,60,5120,50,95,180,85,45,70,0,0,0
92,I,Gastly,Ghos,ghost,poison,Gas,50.2,49.8,1.3,0.1,190,5120,30,35,30,100,35,80,0,0,0
93,I,Haunter,Ghost,ghost,poison,Gas,50.2,49.8,1.6,0.1,90,5120,45,50,45,115,55,95,0,0,0
94,I,Gengar,Gangar,ghost,poison,Shadow,50.2,49.8,1.5,40.5,45,5120,60,65,60,130,75,110,0,0,0
95,I,Onix,Iwark,rock,ground,Rock Snake,50.2,49.8,8.8,210,45,6400,35,45,160,30,45,70,0,0,0
96,I,Drowzee,Sleepe,psychic,,Hypnosis,50,50,1,32.4,190,5120,60,48,45,43,90,42,0,0,0
97,I,Hypno,Sleeper,psychic,,Hypnosis,50,50,1.6,75.6,75,5120,85,73,70,73,115,67,0,0,0
98,I,Krabby,Crab,water,,River Crab,50.2,49.8,0.4,6.5,225,5120,30,105,90,25,25,50,0,0,0
99,I,Kingler,Kingler,water,,Pincer,50.2,49.8,1.3,60,60,5120,55,130,115,50,50,75,0,0,0
100,I,Voltorb,Biriridama,electric,,Ball,,,0.5,10.4,190,5120,40,30,50,55,55,100,0,0,0
101,I,Electrode,Marumine,electric,,Ball,,,1.2,66.6,60,5120,60,50,70,80,80,150,0,0,0
102,I,Exeggcute,Tamatama,grass,psychic,Egg,50.2,49.8,0.4,2.5,90,5120,60,40,80,60,45,40,0,0,0
103,I,Exeggutor,Nassy,grass,psychic,Coconut,50.2,49.8,2,120,45,5120,95,95,85,125,75,55,0,0,0
104,I,Cubone,Karakara,ground,,Lonely,50.2,49.8,0.4,6.5,190,5120,50,50,95,40,50,35,0,0,0
105,I,Marowak,Garagara,ground,fire,Bone Keeper,50.2,49.8,1,45,75,5120,60,80,110,50,80,45,0,0,0
106,I,Hitmonlee,Sawamular,fighting,,Kicking,100,0,1.5,49.8,45,6400,50,120,53,35,110,87,0,0,0
107,I,Hitmonchan,Ebiwalar,fighting,,Punching,100,0,1.4,50.2,45,6400,50,105,79,35,110,76,0,0,0
108,I,Lickitung,Beroringa,normal,,Licking,50.2,49.8,1.2,65.5,45,5120,90,55,75,60,75,30,0,0,0
109,I,Koffing,Dogars,poison,,Poison Gas,50.2,49.8,0.6,1,190,5120,40,65,95,60,45,35,0,0,0
110,I,Weezing,Matadogas,poison,poison,Poison Gas,50.2,49.8,1.2,9.5,60,5120,65,90,120,85,70,60,0,0,0
111,I,Rhyhorn,Sihorn,ground,rock,Spikes,50.2,49.8,1,115,120,5120,80,85,95,30,30,25,0,0,0
112,I,Rhydon,Sidon,ground,rock,Drill,50.2,49.8,1.9,120,60,5120,105,130,120,45,45,40,0,0,0
113,I,Chansey,Lucky,normal,,Egg,0,100,1.1,34.6,30,10240,250,5,5,35,105,50,0,0,0
114,I,Tangela,Monjara,grass,,Vine,50.2,49.8,1,35,45,5120,65,55,115,100,40,60,0,0,0
115,I,Kangaskhan,Garura,normal,,Parent,0,100,2.2,80,45,5120,105,95,80,40,80,90,0,0,0
116,I,Horsea,Tattu,water,,Dragon,50.2,49.8,0.4,8,225,5120,30,40,70,70,25,60,0,0,0
117,I,Seadra,Seadra,water,,Dragon,50.2,49.8,1.2,25,75,5120,55,65,95,95,45,85,0,0,0
118,I,Goldeen,Tosakinto,water,,Goldfish,50.2,49.8,0.6,15,225,5120,45,67,60,35,50,63,0,0,0
119,I,Seaking,Azumao,water,,Goldfish,50.2,49.8,1.3,39,60,5120,80,92,65,65,80,68,0,0,0
120,I,Staryu,Hitodeman,water,,Starshape,,,0.8,34.5,225,5120,30,45,55,70,55,85,0,0,0
121,I,Starmie,Starmie,water,psychic,Mysterious,,,1.1,80,60,5120,60,75,85,100,85,115,0,0,0
122,I,Mr. Mime,Barrierd,psychic,fairy,Barrier,50.2,49.8,1.3,54.5,45,6400,40,45,65,100,120,90,0,0,0
123,I,Scyther,Strike,bug,flying,Mantis,50.2,49.8,1.5,56,45,6400,70,110,80,55,80,105,0,0,0
124,I,Jynx,Rougela,ice,psychic,Humanshape,0,100,1.4,40.6,45,6400,65,50,35,115,95,95,0,0,0
125,I,Electabuzz,Eleboo,electric,,Electric,75.49,24.51,1.1,30,45,6400,65,83,57,95,85,105,0,0,0
126,I,Magmar,Boober,fire,,Spitfire,75.49,24.51,1.3,44.5,45,6400,65,95,57,100,85,93,0,0,0
127,I,Pinsir,Kailios,bug,,Stagbeetle,50.2,49.8,1.5,55,45,6400,65,125,100,55,70,85,0,0,0
128,I,Tauros,Kentauros,normal,,Wild Bull,100,0,1.4,88.4,45,5120,75,100,95,40,70,110,0,0,0
129,I,Magikarp,Koiking,water,,Fish,50.2,49.8,0.9,10,255,1280,20,10,55,15,20,80,0,0,0
130,I,Gyarados,Gyarados,water,flying,Atrocious,50.2,49.8,6.5,235,45,1280,95,125,79,60,100,81,0,0,0
131,I,Lapras,Laplace,water,ice,Transport,50.2,49.8,2.5,220,45,10240,130,85,80,85,95,60,0,0,0
132,I,Ditto,Metamon,normal,,Transform,,,0.3,4,35,5120,48,48,48,48,48,48,0,0,0
133,I,Eevee,Eievui,normal,,Evolution,88.14,11.86,0.3,6.5,45,8960,55,55,50,45,65,55,0,0,0
134,I,Vaporeon,Showers,water,,Bubble Jet,88.14,11.86,1,29,45,8960,130,65,60,110,95,65,0,0,0
135,I,Jolteon,Thunders,electric,,Lightning,88.14,11.86,0.8,24.5,45,8960,65,65,60,110,95,130,0,0,0
136,I,Flareon,Booster,fire,,Flame,88.14,11.86,0.9,25,45,8960,65,130,60,95,110,65,0,0,0
137,I,Porygon,Porygon,normal,,Virtual,,,0.8,36.5,45,5120,65,60,70,85,75,40,0,0,0
