AsOfDate,TradeId,RiskFactor,MarketValue,Delta
2020-07-09,Trd_0,MSFT,94.67012655645784,6135.162720321887
2020-07-09,Trd_1,OXY,9.023713525589944,198.910712614711
2020-07-09,Trd_2,AAPL,90.09502328816927,17013.8108642537
2020-07-09,Trd_3,MSFT,94.68061570904688,6224.301069028615
2020-07-09,Trd_4,OXY,0.6754228998549153,-317.9759180693844
2020-07-09,Trd_5,MSFT,67.6775212712205,7304.698691347484
2020-07-09,Trd_6,AAPL,104.13862043560863,-7860.235018803796
2020-07-09,Trd_7,AAPL,149.62763432160205,13113.667078012146
2020-07-09,Trd_8,AAPL,54.59096268342029,19795.22568566676
2020-07-09,Trd_9,AAPL,198.52768141723612,-5152.4857063778445
2020-07-09,Trd_10,AAPL,107.22721551342353,-7875.952400942009
2020-07-09,Trd_11,AAPL,190.58520243180828,10745.88132977086
2020-07-09,Trd_12,AAPL,182.89562606430113,-5598.475706655125
2020-07-09,Trd_13,MSFT,62.47281931316218,-3795.3853707223097
2020-07-09,Trd_14,AAPL,113.67619192199628,-15242.95497903519
2020-07-09,Trd_15,AAPL,158.75503832980957,-12754.760359785623
2020-07-09,Trd_16,AAPL,158.827502191489,-6337.814183702313
2020-07-09,Trd_17,MSFT,107.87492578620822,5631.338486222237
2020-07-09,Trd_18,MSFT,112.37210629183674,5301.213226621195
2020-07-09,Trd_19,MSFT,51.8890681447994,7921.9848419271175
