asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Sovereigns and their central banks,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_785396,72.48556064153688,12.396895141183174,2020-01-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_295490,548.5748223411149,316.4413926025979,2020-01-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_256270,864.1195183331931,372.81968495954555,2020-01-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_287689,124.49506849484615,43.72122481541074,2020-01-31
Securities firms,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_831158,765.4558780672207,198.77685451862789,2020-01-31
Corporates,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_159122,940.3928916163848,238.21211158298323,2020-01-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_331469,493.84849287187603,223.19166079246355,2020-01-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_243011,347.7482042478577,155.80113757269967,2020-01-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_147282,818.078479320061,150.43090173735587,2020-01-31
Multilateral development banks,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_028737,93.70622797452721,25.78533543352164,2020-01-31
Banks,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_191288,925.9225900553297,482.7588504749578,2020-01-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_947739,362.4103939231442,84.35842867047985,2020-01-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_944049,640.9641022741112,312.27602078484585,2020-01-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_257819,993.1221632164423,433.88938696894985,2020-01-31
Sovereigns and their central banks,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_371729,245.79428771209433,92.86771072440752,2020-01-31
Non-central government public sector entities,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_547086,216.05773445489118,69.35568542276495,2020-01-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_548504,144.98006168668397,27.404184346760317,2020-01-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_851726,712.0350887221047,279.28997322838154,2020-01-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_957698,713.606250922531,218.24209373560987,2020-01-31
Corporates,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_240652,452.97781977915685,107.3585171961136,2020-01-31
Regulatory retail portfolios,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_886434,387.36754321467214,144.31113185394528,2020-01-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_826979,391.8574986910275,163.74262274151772,2020-01-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_293920,970.5712611314352,561.5978122484609,2020-01-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_120017,788.5816073591336,217.92108214538507,2020-01-31
Banks,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_326189,575.0447712275375,236.19887873668583,2020-01-31
Securities firms,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_787297,732.9710144767648,357.93009367468454,2020-01-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_603147,311.6630408556363,54.19655984069916,2020-01-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_364627,977.2575375571673,147.34603263003487,2020-01-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_307432,159.71744869494685,84.20369127111034,2020-01-31
Non-central government public sector entities,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_097542,355.4470759681899,61.705920573807404,2020-01-31
Multilateral development banks,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_757237,626.0305629003321,184.00609178561473,2020-01-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_248190,339.92101465907143,178.4015494529267,2020-01-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_574785,345.1555396071355,83.23110567301924,2020-01-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_809485,797.5828820548085,193.22078869907665,2020-01-31
Regulatory retail portfolios,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_471742,819.7011755125201,480.9245235129432,2020-01-31
Sovereigns and their central banks,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_932782,99.86678599953514,35.91699154195535,2020-01-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_150191,344.55973452135214,118.48444831535045,2020-01-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_618658,632.9676727687246,161.72453851452136,2020-01-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_498558,72.80600588333431,15.665194811436024,2020-01-31
Securities firms,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_081812,950.3511022393268,384.3618216277788,2020-01-31
