iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,446,900,702","1,439,323,776","9,706,961 sq_km",149/sq_km,0.34%,18.340,1
IND,India,"1,397,396,241","1,380,004,385","3,287,590 sq_km",424/sq_km,0.97%,17.713,2
IDN,Indonesia,"276,939,443","273,523,615","1,904,569 sq_km",145/sq_km,1.04%,3.510,4
PAK,Pakistan,"225,180,900","220,892,340","881,912 sq_km",255/sq_km,1.95%,2.854,5
BRA,Brazil,"214,498,060","212,559,417","8,515,767 sq_km",25/sq_km,0.67%,2.719,6
NGA,Nigeria,"211,178,579","206,139,589","923,768 sq_km",229/sq_km,2.55%,2.677,7
BGD,Bangladesh,"166,618,404","164,689,383","147,570 sq_km","1,127/sq_km",0.98%,2.112,8
MEX,Mexico,"130,709,226","128,932,753","1,964,375 sq_km",66/sq_km,1.03%,1.657,10
JPN,Japan,"126,459,374","126,476,461","377,930 sq_km",334/sq_km,-0.34%,1.603,11
ETH,Ethiopia,"117,555,098","114,963,588","1,104,300 sq_km",107/sq_km,2.53%,1.490,12
PHL,Philippines,"111,258,719","109,581,078","342,353 sq_km",324/sq_km,1.34%,1.410,13
EGY,Egypt,"104,463,831","102,334,404","1,002,450 sq_km",104/sq_km,1.88%,1.324,14
VNM,Vietnam,"98,418,017","97,338,579","331,212 sq_km",296/sq_km,0.85%,1.248,15
TUR,Turkey,"85,862,247","84,339,067","783,562 sq_km",109/sq_km,0.83%,1.088,17
IRN,Iran,"84,932,108","83,992,949","1,648,195 sq_km",52/sq_km,1.23%,1.077,18
DEU,Germany,"83,724,585","83,783,942","357,114 sq_km",235/sq_km,0.14%,1.061,19
THA,Thailand,"70,079,431","69,799,978","513,120 sq_km",136/sq_km,0.22%,0.888,20
FRA,France,"65,610,892","65,273,511","551,695 sq_km",119/sq_km,0.23%,0.832,22
ITA,Italy,"60,565,520","60,461,826","301,336 sq_km",200/sq_km,-0.16%,0.768,24
ZAF,South Africa,"59,824,921","59,308,690","1,221,037 sq_km",49/sq_km,1.24%,0.758,25
KEN,Kenya,"55,151,779","53,771,296","580,367 sq_km",95/sq_km,2.26%,0.699,26
MMR,Myanmar,"54,848,164","54,409,800","676,578 sq_km",81/sq_km,0.73%,0.695,27
COL,Colombia,"51,305,589","50,882,891","1,141,748 sq_km",45/sq_km,0.75%,0.650,29
UGA,Uganda,"47,070,858","45,741,007","241,550 sq_km",195/sq_km,3.02%,0.597,30
ESP,Spain,"46,611,236","46,754,778","505,992 sq_km",92/sq_km,-0.02%,0.591,31
ARG,Argentina,"45,640,577","45,195,774","2,780,400 sq_km",16/sq_km,0.91%,0.579,32
SDN,Sudan,"44,644,124","43,849,260","1,886,068 sq_km",24/sq_km,2.42%,0.566,33
DZA,Algeria,"44,620,474","43,851,044","2,381,741 sq_km",19/sq_km,1.75%,0.566,34
