iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,1446900702.0,1439323776.0,9706961.0,149.0,0.34,18.34,1
IND,India,1397396241.0,1380004385.0,3287590.0,424.0,0.97,17.713,2
IDN,Indonesia,276939443.0,273523615.0,1904569.0,145.0,1.04,3.51,4
PAK,Pakistan,225180900.0,220892340.0,881912.0,255.0,1.95,2.854,5
BRA,Brazil,214498060.0,212559417.0,8515767.0,25.0,0.67,2.719,6
NGA,Nigeria,211178579.0,206139589.0,923768.0,229.0,2.55,2.677,7
BGD,Bangladesh,166618404.0,164689383.0,147570.0,1127.0,0.98,2.112,8
MEX,Mexico,130709226.0,128932753.0,1964375.0,66.0,1.03,1.657,10
JPN,Japan,126459374.0,126476461.0,377930.0,334.0,-0.34,1.603,11
ETH,Ethiopia,117555098.0,114963588.0,1104300.0,107.0,2.53,1.49,12
PHL,Philippines,111258719.0,109581078.0,342353.0,324.0,1.34,1.41,13
EGY,Egypt,104463831.0,102334404.0,1002450.0,104.0,1.88,1.324,14
VNM,Vietnam,98418017.0,97338579.0,331212.0,296.0,0.85,1.248,15
TUR,Turkey,85862247.0,84339067.0,783562.0,109.0,0.83,1.088,17
IRN,Iran,84932108.0,83992949.0,1648195.0,52.0,1.23,1.077,18
DEU,Germany,83724585.0,83783942.0,357114.0,235.0,0.14,1.061,19
THA,Thailand,70079431.0,69799978.0,513120.0,136.0,0.22,0.888,20
FRA,France,65610892.0,65273511.0,551695.0,119.0,0.23,0.832,22
ITA,Italy,60565520.0,60461826.0,301336.0,200.0,-0.16,0.768,24
ZAF,South Africa,59824921.0,59308690.0,1221037.0,49.0,1.24,0.758,25
KEN,Kenya,55151779.0,53771296.0,580367.0,95.0,2.26,0.699,26
MMR,Myanmar,54848164.0,54409800.0,676578.0,81.0,0.73,0.695,27
COL,Colombia,51305589.0,50882891.0,1141748.0,45.0,0.75,0.65,29
UGA,Uganda,47070858.0,45741007.0,241550.0,195.0,3.02,0.597,30
ESP,Spain,46611236.0,46754778.0,505992.0,92.0,-0.02,0.591,31
ARG,Argentina,45640577.0,45195774.0,2780400.0,16.0,0.91,0.579,32
SDN,Sudan,44644124.0,43849260.0,1886068.0,24.0,2.42,0.566,33
DZA,Algeria,44620474.0,43851044.0,2381741.0,19.0,1.75,0.566,34
UKR,Ukraine,43641005.0,43733762.0,603500.0,72.0,-0.61,0.553,35
IRQ,Iraq,41613259.0,40222493.0,438317.0,94.0,2.38,0.527,36
AFG,Afghanistan,40118376.0,38928346.0,652230.0,61.0,2.33,0.509,37
CAN,Canada,38120380.0,37742154.0,9984670.0,4.0,0.86,0.483,38
POL,Poland,37877090.0,37846611.0,312679.0,121.0,-0.13,0.48,39
