iso_code,latitude,longitude
AFG,33.93911,67.709953
ALB,41.153332,20.168331
DZA,28.033886,1.659626
AND,42.546245,1.601554
AGO,-11.202692,17.873887
AIA,18.220554,-63.068615
ARG,-38.416097,-63.616672
ARM,40.069099,45.038189
ABW,12.52111,-69.968338
AUS,-25.274398,133.775136
AUT,47.516231,14.550072
AZE,40.143105,47.576927
BHS,25.03428,-77.39628
BHR,25.930414,50.637772
BGD,23.684994,90.356331
BRB,13.193887,-59.543198
BLR,53.709807,27.953389
BEL,50.503887,4.469936
BLZ,17.189877,-88.49765
BEN,9.30769,2.315834
BMU,32.321384,-64.75737
BTN,27.514162,90.433601
BOL,-16.290154,-63.588653
BWA,-22.328474,24.684866
BRA,-14.235004,-51.92528
BGR,42.733883,25.48583
KHM,12.565679,104.990963
CMR,7.369722,12.354722
CAN,56.130366,-106.346771
CPV,16.002082,-24.013197
CYM,19.513469,-80.566956
CAF,6.611111,20.939444
CHL,-35.675147,-71.542969
CHN,35.86166,104.195397
COL,4.570868,-74.297333
COM,-11.875001,43.872219
CRI,9.748917,-83.753428
HRV,45.1,15.2
CUB,21.521757,-77.781167
CYP,35.126413,33.429859
DNK,56.26392,9.501785
DJI,11.825138,42.590275
DMA,15.414999,-61.370976
DOM,18.735693,-70.162651
ECU,-1.831239,-78.183406
EGY,26.820553,30.802498
SLV,13.794185,-88.89653
GNQ,1.650801,10.267895
EST,58.595272,25.013607
ETH,9.145,40.489673
FJI,-16.578193,179.414413
FIN,61.92411,25.748151
FRA,46.227638,2.213749
PYF,-17.679742,-149.406843
GAB,-0.803689,11.609444
GMB,13.443182,-15.310139
GEO,42.315407,43.356892
DEU,51.165691,10.451526
GHA,7.946527,-1.023194
GIB,36.137741,-5.345374
GRC,39.074208,21.824312
GRL,71.706936,-42.604303
GRD,12.262776,-61.604171
GTM,15.783471,-90.230759
GIN,9.945587,-9.696645
GUY,4.860416,-58.93018
HND,15.199999,-86.241905
HKG,22.396428,114.109497
HUN,47.162494,19.503304
ISL,64.963051,-19.020835
IND,20.593684,78.96288
IDN,-0.789275,113.921327
IRN,32.427908,53.688046
IRQ,33.223191,43.679291
IRL,53.41291,-8.24389
ISR,31.046051,34.851612
ITA,41.87194,12.56738
JAM,18.109581,-77.297508
JPN,36.204824,138.252924
JOR,30.585164,36.238414
KAZ,48.019573,66.923684
KEN,-0.023559,37.906193
KWT,29.31166,47.481766
KGZ,41.20438,74.766098
LAO,19.85627,102.495496
LVA,56.879635,24.603189
LBN,33.854721,35.862285
LSO,-29.609988,28.233608
LBR,6.428055,-9.429499
LBY,26.3351,17.228331
LIE,47.166,9.555373
LTU,55.169438,23.881275
LUX,49.815273,6.129583
MDG,-18.766947,46.869107
MWI,-13.254308,34.301525
MYS,4.210484,101.975766
MDV,3.202778,73.22068
MLI,17.570692,-3.996166
MLT,35.937496,14.375416
MRT,21.00789,-10.940835
MUS,-20.348404,57.552152
MEX,23.634501,-102.552784
MCO,43.750298,7.412841
MNG,46.862496,103.846656
MNE,42.708678,19.37439
MSR,16.742498,-62.187366
MAR,31.791702,-7.09262
MOZ,-18.665695,35.529562
MMR,21.913965,95.956223
NAM,-22.95764,18.49041
NRU,-0.522778,166.931503
NPL,28.394857,84.124008
NLD,52.132633,5.291266
NCL,-20.904305,165.618042
NZL,-40.900557,174.885971
NIC,12.865416,-85.207229
NER,17.607789,8.081666
NGA,9.081999,8.675277
NOR,60.472024,8.468946
OMN,21.512583,55.923255
PAK,30.375321,69.345116
PAN,8.537981,-80.782127
PNG,-6.314993,143.95555
PRY,-23.442503,-58.443832
PER,-9.189967,-75.015152
PHL,12.879721,121.774017
POL,51.919438,19.145136
PRT,39.399872,-8.224454
QAT,25.354826,51.183884
ROU,45.943161,24.96676
RWA,-1.940278,29.873888
LCA,13.909444,-60.978893
WSM,-13.759029,-172.104629
SMR,43.94236,12.457777
SAU,23.885942,45.079162
SEN,14.497401,-14.452362
SRB,44.016521,21.005859
SYC,-4.679574,55.491977
SLE,8.460555,-11.779889
SGP,1.352083,103.819836
SVK,48.669026,19.699024
SVN,46.151241,14.995463
SLB,-9.64571,160.156194
SOM,5.152149,46.199616
ZAF,-30.559482,22.937506
ESP,40.463667,-3.74922
LKA,7.873054,80.771797
SDN,12.862807,30.217636
SUR,3.919305,-56.027783
SWE,60.128161,18.643501
CHE,46.818188,8.227512
SYR,34.802075,38.996815
TJK,38.861034,71.276093
THA,15.870032,100.992541
TGO,8.619543,0.824782
TON,-21.178986,-175.198242
TUN,33.886917,9.537499
TUR,38.963745,35.243322
TKM,38.969719,59.556278
TUV,-7.109535,177.64933
UGA,1.373333,32.290275
UKR,48.379433,31.16558
ARE,23.424076,53.847818
URY,-32.522779,-55.765835
UZB,41.377491,64.585262
VEN,6.42375,-66.58973
VNM,14.058324,108.277199
YEM,15.552727,48.516388
ZMB,-13.133897,27.849332
ZWE,-19.015438,29.154857
