AsOfDate,TimePoint,TimePointDate
2020-09-07,0,2020-09-08
2020-09-07,1,2020-09-09
2020-09-07,2,2020-09-10
2020-09-07,3,2020-09-11
2020-09-07,4,2020-09-12
2020-09-07,5,2020-09-13
2020-09-07,6,2020-09-14
2020-09-07,7,2020-09-15
2020-09-07,8,2020-09-16
2020-09-07,9,2020-09-17
2020-09-07,10,2020-09-18
2020-09-07,11,2020-09-19
2020-09-07,12,2020-09-20
2020-09-07,13,2020-09-21
2020-09-07,14,2020-09-22
2020-09-07,15,2020-09-23
2020-09-07,16,2020-09-24
2020-09-07,17,2020-09-25
2020-09-07,18,2020-09-26
2020-09-07,19,2020-09-27
2020-09-07,20,2020-09-28
2020-09-07,21,2020-09-29
2020-09-07,22,2020-09-30
2020-09-07,23,2020-10-01
2020-09-07,24,2020-10-02
2020-09-07,25,2020-10-03
2020-09-07,26,2020-10-04
2020-09-07,28,2020-10-06
2020-09-07,36,2020-10-14
2020-09-07,43,2020-10-21
2020-09-07,50,2020-10-28
2020-09-07,57,2020-11-04
2020-09-07,66,2020-11-13
2020-09-07,73,2020-11-20
2020-09-07,80,2020-11-27
2020-09-07,87,2020-12-04
2020-09-07,96,2020-12-13
2020-09-07,128,2021-01-14
2020-09-07,159,2021-02-14
2020-09-07,191,2021-03-18
2020-09-07,223,2021-04-19
2020-09-07,254,2021-05-20
2020-09-07,286,2021-06-21
2020-09-07,318,2021-07-23
2020-09-07,349,2021-08-23
2020-09-07,381,2021-09-24
2020-09-07,412,2021-10-25
2020-09-07,444,2021-11-26
2020-09-07,478,2021-12-30
2020-09-07,509,2022-01-30
2020-09-07,541,2022-03-03
2020-09-07,574,2022-04-05
2020-09-07,605,2022-05-06
2020-09-07,637,2022-06-07
2020-09-07,671,2022-07-11
2020-09-07,702,2022-08-11
2020-09-07,734,2022-09-12
2020-09-07,767,2022-10-15
2020-09-07,858,2023-01-14
2020-09-07,950,2023-04-16
2020-09-07,1041,2023-07-16
2020-09-07,1132,2023-10-15
2020-09-07,1223,2024-01-14
2020-09-07,1315,2024-04-15
2020-09-07,1406,2024-07-15
2020-09-07,1498,2024-10-15
2020-09-07,1589,2025-01-14
2020-09-07,1680,2025-04-15
2020-09-07,1772,2025-07-16
2020-09-07,1863,2025-10-15
2020-09-07,2046,2026-04-16
2020-09-07,2228,2026-10-15
2020-09-07,2411,2027-04-16
2020-09-07,2593,2027-10-15
2020-09-07,2786,2028-04-25
2020-09-07,2978,2028-11-03
2020-09-07,3171,2029-05-15
2020-09-07,3364,2029-11-24
2020-09-07,3556,2030-06-04
2020-09-07,3749,2030-12-14
2020-09-07,3931,2031-06-14
2020-09-07,4114,2031-12-14
2020-09-07,4479,2032-12-13
2020-09-07,4845,2033-12-14
2020-09-07,5210,2034-12-14
2020-09-07,5575,2035-12-14
2020-09-07,5940,2036-12-13
2020-09-07,6305,2037-12-13
2020-09-07,6671,2038-12-14
2020-09-07,7036,2039-12-14
2020-09-07,7218,2040-06-13
2020-09-07,7401,2040-12-13
2020-09-07,7593,2041-06-23
2020-09-07,7968,2042-07-03
2020-09-07,8342,2043-07-12
2020-09-07,8717,2044-07-21
2020-09-07,9092,2045-07-31
2020-09-07,9467,2046-08-10
2020-09-07,9842,2047-08-20
2020-09-07,10216,2048-08-28
2020-09-07,10591,2049-09-07
2020-09-07,10966,2050-09-17
2020-09-07,14600,2060-08-29
2020-09-07,18250,2070-08-27
