AsOfDate,TimePoint,SurvivalProbabilityId,SurvivalProbability
2020-09-07,0,Unilever ord,1.0
2020-09-07,1,Unilever ord,0.999998
2020-09-07,2,Unilever ord,0.9999950000060001
2020-09-07,3,Unilever ord,0.999990000031
2020-09-07,4,Unilever ord,0.9999860000709999
2020-09-07,5,Unilever ord,0.9999810001409996
2020-09-07,6,Unilever ord,0.9999720003119983
2020-09-07,7,Unilever ord,0.9999640005359958
2020-09-07,8,Unilever ord,0.9999490010759877
2020-09-07,9,Unilever ord,0.9999350017899726
2020-09-07,10,Unilever ord,0.99992800224496
2020-09-07,11,Unilever ord,0.9999080036849152
2020-09-07,12,Unilever ord,0.9998920051568563
2020-09-07,13,Unilever ord,0.9998690076407377
2020-09-07,14,Unilever ord,0.9998450107845543
2020-09-07,15,Unilever ord,0.9998210145042955
2020-09-07,16,Unilever ord,0.9998010180840055
2020-09-07,17,Unilever ord,0.9997730236554991
2020-09-07,18,Unilever ord,0.9997660252443336
2020-09-07,19,Unilever ord,0.9997280341353743
2020-09-07,20,Unilever ord,0.999726034679306
2020-09-07,21,Unilever ord,0.9997020412544737
2020-09-07,22,Unilever ord,0.9996890451279374
2020-09-07,23,Unilever ord,0.9996560553894482
2020-09-07,24,Unilever ord,0.999645059172839
2020-09-07,25,Unilever ord,0.9996210676914188
2020-09-07,26,Unilever ord,0.9996160695860804
2020-09-07,28,Unilever ord,0.9995780841754361
2020-09-07,36,Unilever ord,0.9995640900822577
2020-09-07,43,Unilever ord,0.9994921214677717
2020-09-07,50,Unilever ord,0.9994571392435203
2020-09-07,57,Unilever ord,0.9994001701865834
2020-09-07,66,Unilever ord,0.9993871779843709
2020-09-07,73,Unilever ord,0.9992652527486567
2020-09-07,80,Unilever ord,0.99911736149125
2020-09-07,87,Unilever ord,0.9989644965349418
2020-09-07,96,Unilever ord,0.998914548310115
2020-09-07,128,Unilever ord,0.9988296405735085
2020-09-07,159,Unilever ord,0.9985899214597709
2020-09-07,191,Unilever ord,0.9983822147561072
2020-09-07,223,Unilever ord,0.9981465965534249
2020-09-07,254,Unilever ord,0.9979379839147452
2020-09-07,286,Unilever ord,0.9975697447986807
2020-09-07,318,Unilever ord,0.9975408152760814
2020-09-07,349,Unilever ord,0.9970011456950171
2020-09-07,381,Unilever ord,0.9964517980637391
2020-09-07,412,Unilever ord,0.9960043912064085
2020-09-07,444,Unilever ord,0.9958251104159913
2020-09-07,478,Unilever ord,0.995218652923748
2020-09-07,509,Unilever ord,0.9943757027247216
2020-09-07,541,Unilever ord,0.9942076532309612
2020-09-07,574,Unilever ord,0.9932999416435614
2020-09-07,605,Unilever ord,0.9923126015015676
2020-09-07,637,Unilever ord,0.9921955086145905
2020-09-07,671,Unilever ord,0.9914583073516899
2020-09-07,702,Unilever ord,0.9901585055107519
2020-09-07,734,Unilever ord,0.9897446192554484
2020-09-07,767,Unilever ord,0.98875883361467
2020-09-07,858,Unilever ord,0.9880756012606423
2020-09-07,950,Unilever ord,0.9866626531508396
2020-09-07,1041,Unilever ord,0.9866448932230829
2020-09-07,1132,Unilever ord,0.9858072317087365
2020-09-07,1223,Unilever ord,0.9846193339945275
2020-09-07,1315,Unilever ord,0.9837922537539722
2020-09-07,1406,Unilever ord,0.9816308621724747
2020-09-07,1498,Unilever ord,0.9809358675220566
2020-09-07,1589,Unilever ord,0.9791486023714314
2020-09-07,1680,Unilever ord,0.9784396987833146
2020-09-07,1772,Unilever ord,0.9767411274662268
2020-09-07,1863,Unilever ord,0.9745776458688891
2020-09-07,2046,Unilever ord,0.9731625591270875
2020-09-07,2228,Unilever ord,0.97269154844847
2020-09-07,2411,Unilever ord,0.9691276066149548
2020-09-07,2593,Unilever ord,0.9664227714648924
2020-09-07,2786,Unilever ord,0.9641516779519499
2020-09-07,2978,Unilever ord,0.9617046609933079
2020-09-07,3171,Unilever ord,0.9583838947988981
2020-09-07,3364,Unilever ord,0.9535833498698505
2020-09-07,3556,Unilever ord,0.9534212407003726
2020-09-07,3749,Unilever ord,0.9521083796519282
2020-09-07,3931,Unilever ord,0.9472745254084354
2020-09-07,4114,Unilever ord,0.9434778491105983
2020-09-07,4479,Unilever ord,0.9396652551223423
2020-09-07,4845,Unilever ord,0.9326074293911185
2020-09-07,5210,Unilever ord,0.9324050535789407
2020-09-07,5575,Unilever ord,0.9237243625301208
2020-09-07,5940,Unilever ord,0.9212450863410899
2020-09-07,6305,Unilever ord,0.9176255143968558
2020-09-07,6671,Unilever ord,0.9087346407878647
2020-09-07,7036,Unilever ord,0.9037993029537458
2020-09-07,7218,Unilever ord,0.8967921469579454
2020-09-07,7401,Unilever ord,0.8855033274120389
2020-09-07,7593,Unilever ord,0.8843202949666163
2020-09-07,7968,Unilever ord,0.8763269238204131
2020-09-07,8342,Unilever ord,0.8710829835082717
2020-09-07,8717,Unilever ord,0.8671901136549732
2020-09-07,9092,Unilever ord,0.8641332685043395
2020-09-07,9467,Unilever ord,0.8615019827017437
2020-09-07,9842,Unilever ord,0.8550476098473423
2020-09-07,10216,Unilever ord,0.8420004383686817
2020-09-07,10591,Unilever ord,0.8256361598489863
2020-09-07,10966,Unilever ord,0.815987775684991
2020-09-07,14600,Unilever ord,0.8072575224729374
2020-09-07,18250,Unilever ord,0.7850652059226338
2020-09-07,0,Asahi Chemical Ind.,1.0
2020-09-07,1,Asahi Chemical Ind.,0.999999
2020-09-07,2,Asahi Chemical Ind.,0.999996000003
2020-09-07,3,Asahi Chemical Ind.,0.999995000007
2020-09-07,4,Asahi Chemical Ind.,0.999987000047
2020-09-07,5,Asahi Chemical Ind.,0.9999790001509996
2020-09-07,6,Asahi Chemical Ind.,0.9999670004029978
2020-09-07,7,Asahi Chemical Ind.,0.9999570007329939
2020-09-07,8,Asahi Chemical Ind.,0.999953000904991
2020-09-07,9,Asahi Chemical Ind.,0.9999470011869855
2020-09-07,10,Asahi Chemical Ind.,0.999939001610976
2020-09-07,11,Asahi Chemical Ind.,0.9999260024039551
2020-09-07,12,Asahi Chemical Ind.,0.9999120034399214
2020-09-07,13,Asahi Chemical Ind.,0.9998990045838767
2020-09-07,14,Asahi Chemical Ind.,0.9998860058968171
2020-09-07,15,Asahi Chemical Ind.,0.9998660081766991
2020-09-07,16,Asahi Chemical Ind.,0.9998640084446828
2020-09-07,17,Asahi Chemical Ind.,0.9998330126604211
2020-09-07,18,Asahi Chemical Ind.,0.9998320128274085
2020-09-07,19,Asahi Chemical Ind.,0.9998260138353315
2020-09-07,20,Asahi Chemical Ind.,0.9998220145312762
2020-09-07,21,Asahi Chemical Ind.,0.9998120163111308
