TimePointWeight,TimePoint
5.479452054794521e-05,1
5.479452054794521e-05,2
5.479452054794521e-05,3
5.479452054794521e-05,4
5.479452054794521e-05,5
5.479452054794521e-05,6
5.479452054794521e-05,7
5.479452054794521e-05,8
5.479452054794521e-05,9
5.479452054794521e-05,10
5.479452054794521e-05,11
5.479452054794521e-05,12
5.479452054794521e-05,13
5.479452054794521e-05,14
5.479452054794521e-05,15
5.479452054794521e-05,16
5.479452054794521e-05,17
5.479452054794521e-05,18
5.479452054794521e-05,19
5.479452054794521e-05,20
5.479452054794521e-05,21
5.479452054794521e-05,22
5.479452054794521e-05,23
5.479452054794521e-05,24
5.479452054794521e-05,25
5.479452054794521e-05,26
0.00010958904109589041,28
0.00043835616438356166,36
0.0003835616438356164,43
0.0003835616438356164,50
0.0003835616438356164,57
0.0004931506849315068,66
0.0003835616438356164,73
0.0003835616438356164,80
0.0003835616438356164,87
0.0004931506849315068,96
0.0017534246575342466,128
0.0016986301369863014,159
0.0017534246575342466,191
0.0017534246575342466,223
0.0016986301369863014,254
0.0017534246575342466,286
0.0017534246575342466,318
0.0016986301369863014,349
0.0017534246575342466,381
0.0016986301369863014,412
0.0017534246575342466,444
0.001863013698630137,478
0.0016986301369863014,509
0.0017534246575342466,541
0.0018082191780821918,574
0.0016986301369863014,605
0.0017534246575342466,637
0.001863013698630137,671
0.0016986301369863014,702
0.0017534246575342466,734
0.0018082191780821918,767
0.004986301369863014,858
0.005041095890410959,950
0.004986301369863014,1041
0.004986301369863014,1132
0.004986301369863014,1223
0.005041095890410959,1315
0.004986301369863014,1406
0.005041095890410959,1498
0.004986301369863014,1589
0.004986301369863014,1680
0.005041095890410959,1772
0.004986301369863014,1863
0.010027397260273973,2046
0.009972602739726028,2228
0.010027397260273973,2411
0.009972602739726028,2593
0.010575342465753425,2786
0.01052054794520548,2978
0.010575342465753425,3171
0.010575342465753425,3364
0.01052054794520548,3556
0.010575342465753425,3749
0.009972602739726028,3931
0.010027397260273973,4114
0.02,4479
0.020054794520547946,4845
0.02,5210
0.02,5575
0.02,5940
0.02,6305
0.020054794520547946,6671
0.02,7036
0.009972602739726028,7218
0.010027397260273973,7401
0.01052054794520548,7593
0.02054794520547945,7968
0.020493150684931506,8342
0.02054794520547945,8717
0.02054794520547945,9092
0.02054794520547945,9467
0.02054794520547945,9842
0.020493150684931506,10216
0.02054794520547945,10591
0.02054794520547945,10966
0.19912328767123288,14600
0.2,18250
