AsOfDate,ProductId,ProductFamily,ProductCategory,TradingProduct
2020-09-08,1,Metals,Precious,SpotFwd
2020-09-08,2,Metals,Precious,Swap
2020-09-08,3,Metals,Precious,Option
2020-09-08,4,Metals,Precious,Option
2020-09-08,5,Metals,Precious,LoanLease
2020-09-08,6,Metals,Precious,LoanLease
2020-09-08,7,Metals,Precious,Exotic
2020-09-08,8,Metals,NonPrecious,SpotFwd
2020-09-08,9,Metals,NonPrecious,Swap
2020-09-08,10,Metals,NonPrecious,Option
2020-09-08,11,Metals,NonPrecious,Option
2020-09-08,12,Metals,NonPrecious,LoanLease
2020-09-08,13,Metals,NonPrecious,LoanLease
2020-09-08,14,Metals,NonPrecious,Exotic
2020-09-08,15,Energy,Oil,SpotFwd
2020-09-08,16,Energy,Oil,Swap
2020-09-08,17,Energy,Oil,Option
2020-09-08,18,Energy,Oil,Option
2020-09-08,19,Energy,Oil,LoanLease
2020-09-08,20,Energy,Oil,LoanLease
2020-09-08,21,Energy,Oil,Exotic
2020-09-08,22,Energy,NatGas,SpotFwd
2020-09-08,23,Energy,NatGas,Swap
2020-09-08,24,Energy,NatGas,Option
2020-09-08,25,Energy,NatGas,Option
2020-09-08,26,Energy,NatGas,Transport
2020-09-08,27,Energy,NatGas,LoanLease
2020-09-08,28,Energy,NatGas,LoanLease
2020-09-08,29,Energy,NatGas,Exotic
2020-09-08,30,Energy,Coal,SpotFwd
2020-09-08,31,Energy,Coal,Swap
2020-09-08,32,Energy,Coal,Option
2020-09-08,33,Energy,Coal,Option
2020-09-08,34,Energy,Coal,LoanLease
2020-09-08,35,Energy,Coal,LoanLease
2020-09-08,36,Energy,Coal,Exotic
2020-09-08,37,Energy,Elec,SpotFwd
2020-09-08,38,Energy,Elec,Swap
2020-09-08,39,Energy,Elec,Option
2020-09-08,40,Energy,Elec,Option
2020-09-08,41,Energy,Elec,Transmission
2020-09-08,42,Energy,Elec,LoanLease
2020-09-08,43,Energy,Elec,LoanLease
2020-09-08,44,Energy,Elec,Exotic
2020-09-08,45,Energy,InterEnergy,SpotFwd
2020-09-08,46,Energy,InterEnergy,Swap
2020-09-08,47,Energy,InterEnergy,Option
2020-09-08,48,Energy,InterEnergy,Option
2020-09-08,49,Energy,InterEnergy,LoanLease
2020-09-08,50,Energy,InterEnergy,LoanLease
2020-09-08,51,Energy,InterEnergy,Exotic
2020-09-08,52,Index,Swap,Cash
2020-09-08,53,Index,Option,Cash
2020-09-08,54,Index,Exotic,
2020-09-08,55,Agricultural,GrainsOilSeeds,SpotFwd
2020-09-08,56,Agricultural,GrainsOilSeeds,Swap
2020-09-08,57,Agricultural,GrainsOilSeeds,Option
2020-09-08,58,Agricultural,GrainsOilSeeds,Option
2020-09-08,59,Agricultural,GrainsOilSeeds,LoanLease
2020-09-08,60,Agricultural,GrainsOilSeeds,LoanLease
2020-09-08,61,Agricultural,GrainsOilSeeds,Exotic
2020-09-08,62,Agricultural,Dairy,SpotFwd
2020-09-08,63,Agricultural,Dairy,Swap
2020-09-08,64,Agricultural,Dairy,Option
2020-09-08,65,Agricultural,Dairy,Option
2020-09-08,66,Agricultural,Dairy,LoanLease
2020-09-08,67,Agricultural,Dairy,LoanLease
2020-09-08,68,Agricultural,Dairy,Exotic
2020-09-08,69,Agricultural,Livestock,SpotFwd
2020-09-08,70,Agricultural,Livestock,Swap
2020-09-08,71,Agricultural,Livestock,Option
2020-09-08,72,Agricultural,Livestock,Option
2020-09-08,73,Agricultural,Livestock,LoanLease
2020-09-08,74,Agricultural,Livestock,LoanLease
2020-09-08,75,Agricultural,Livestock,Exotic
2020-09-08,76,Agricultural,Forestry,SpotFwd
2020-09-08,77,Agricultural,Forestry,Swap
2020-09-08,78,Agricultural,Forestry,Option
2020-09-08,79,Agricultural,Forestry,Option
2020-09-08,80,Agricultural,Forestry,LoanLease
2020-09-08,81,Agricultural,Forestry,LoanLease
2020-09-08,82,Agricultural,Forestry,Exotic
2020-09-08,83,Agricultural,Softs,SpotFwd
2020-09-08,84,Agricultural,Softs,Swap
2020-09-08,85,Agricultural,Softs,Option
2020-09-08,86,Agricultural,Softs,Option
2020-09-08,87,Agricultural,Softs,LoanLease
2020-09-08,88,Agricultural,Softs,LoanLease
2020-09-08,89,Agricultural,Softs,Exotic
2020-09-08,90,Environmental,Weather,Swap
2020-09-08,91,Environmental,Weather,Option
2020-09-08,92,Environmental,Weather,LoanLease
2020-09-08,93,Environmental,Weather,Exotic
2020-09-08,94,Environmental,Emissions,SpotFwd
2020-09-08,95,Environmental,Emissions,Swap
2020-09-08,96,Environmental,Emissions,Option
2020-09-08,97,Environmental,Emissions,Option
2020-09-08,98,Environmental,Emissions,LoanLease
2020-09-08,99,Environmental,Emissions,LoanLease
2020-09-08,100,Environmental,Emissions,Exotic
2020-09-08,101,Freight,SpotFwd,Physical
2020-09-08,102,Freight,Swap,Cash
2020-09-08,103,Freight,Option,Cash
2020-09-08,104,Freight,Option,Physical
2020-09-08,105,Freight,LoanLease,Cash
2020-09-08,106,Freight,LoanLease,Physical
2020-09-08,107,Freight,Exotic,
2020-09-08,108,MultiCommodityExotic,,
2020-09-08,109,Exotic,Corporate,Refobonly
2020-09-08,110,Exotic,Other,
2020-09-08,111,Exotic,StructuredCDS,ContingentCDS
2020-09-08,112,Exotic,StructuredCDS,FirsttoDefaultNthtoDefault
