AsOfDate,TradeId,StrutureId,ProductId,EntityId,AgreementId,AgreementPool,CSAIdVM,CSAIdIM,BreakDate,MaturityDate,TradeDate,NotionalUSD,IndependentAmount,Desk
2020-09-08,Tid_183,StructId_3,111,ActiveBank Singapore,Agr_id47,Pool,csa_8,csa_9,2020-10-29,2020-10-29,2020-09-07,5717078.843792197,0,xVA Desk
2020-09-08,Tid_205,StructId_5,62,ActiveBank US,Agr_id20,Pool,csa_6,csa_8,2035-10-14,2035-10-14,2020-09-07,7361456.805378825,0,Equity Desk
2020-09-08,Tid_482,StructId_2,28,ActiveBank EU,,Pool,csa_5,csa_6,2033-11-10,2033-11-10,2020-09-07,7616701.895882819,0,Rates Desk
2020-09-08,Tid_612,StructId_12,104,ActiveBank EU,,Pool,csa_1,csa_6,2033-07-27,2033-07-27,2020-09-07,8843960.967884744,0,Equity Desk
2020-09-08,Tid_487,StructId_7,228,ActiveBank EU,Agr_id5,Pool,csa_5,csa_9,2048-07-17,2048-07-17,2020-09-07,8554366.181334304,0,Commodities Desk
2020-09-08,Tid_440,StructId_0,116,ActiveBank EU,Agr_id7,Pool,csa_3,csa_9,2039-06-01,2039-06-01,2020-09-07,15745.452595983255,0,Rates Desk
2020-09-08,Tid_219,StructId_19,162,ActiveBank EU,Agr_id11,Pool,csa_7,csa_5,2044-07-09,2044-07-09,2020-09-07,3145510.806365404,0,xVA Desk
2020-09-08,Tid_362,StructId_2,160,ActiveBank EU,,Pool,csa_2,csa_3,2048-10-11,2048-10-11,2020-09-07,36643.27119232147,0,Commodities Desk
2020-09-08,Tid_411,StructId_11,239,ActiveBank EU,Agr_id22,Pool,csa_8,csa_1,2035-01-07,2035-07-11,2020-09-07,9587161.339028934,0,Equity Desk
2020-09-08,Tid_229,StructId_9,239,ActiveBank EU,Agr_id67,Pool,csa_9,csa_3,2046-09-04,2046-09-04,2020-09-07,7003334.046743911,0,Commodities Desk
2020-09-08,Tid_99,StructId_19,58,ActiveBank Singapore,Agr_id26,Pool,csa_5,csa_4,2034-01-06,2034-01-06,2020-09-07,9663143.977200482,0,Commodities Desk
2020-09-08,Tid_126,StructId_6,87,ActiveBank EU,Agr_id53,Pool,csa_2,csa_2,2038-08-18,2046-09-03,2020-09-07,6757652.360540838,0,Equity Desk
2020-09-08,Tid_368,StructId_8,276,ActiveBank EU,Agr_id53,Pool,csa_2,csa_1,2029-10-25,2029-10-25,2020-09-07,5888675.198097223,0,xVA Desk
2020-09-08,Tid_280,StructId_0,144,ActiveBank EU,Agr_id3,Pool,csa_0,csa_2,2020-10-17,2020-10-17,2020-09-07,781441.4030880224,0,Rates Desk
2020-09-08,Tid_700,StructId_0,85,ActiveBank EU,Agr_id50,Pool,csa_4,csa_0,2031-05-11,2031-05-11,2020-09-07,3227906.7355303536,0,xVA Desk
2020-09-08,Tid_609,StructId_9,120,ActiveBank EU,Agr_id68,Pool,csa_5,csa_2,2021-05-18,2021-09-01,2020-09-07,7895319.540217432,0,Equity Desk
2020-09-08,Tid_288,StructId_8,136,ActiveBank US,Agr_id16,Pool,csa_9,csa_6,2033-06-26,2047-02-04,2020-09-07,4170001.9140887246,0,Commodities Desk
2020-09-08,Tid_419,StructId_19,221,ActiveBank EU,,Pool,csa_8,csa_8,2022-07-18,2022-07-18,2020-09-07,4880482.709253721,0,Equity Desk
2020-09-08,Tid_647,StructId_7,71,ActiveBank EU,,Pool,csa_7,csa_0,2021-05-10,2021-05-10,2020-09-07,5859388.992189184,0,Equity Desk
2020-09-08,Tid_294,StructId_14,35,ActiveBank EU,Agr_id8,Pool,csa_3,csa_8,2030-10-16,2030-10-16,2020-09-07,4759416.865898278,0,Rates Desk
2020-09-08,Tid_465,StructId_5,167,ActiveBank EU,Agr_id42,Pool,csa_6,csa_1,2022-10-23,2022-10-23,2020-09-07,8937164.897932915,0,Commodities Desk
2020-09-08,Tid_263,StructId_3,66,ActiveBank EU,Agr_id57,Pool,csa_3,csa_1,2038-09-13,2038-09-13,2020-09-07,4336981.30281028,0,Rates Desk
2020-09-08,Tid_391,StructId_11,203,ActiveBank EU,Agr_id34,Pool,csa_4,csa_9,2037-09-17,2040-02-20,2020-09-07,5726308.182357979,0,Rates Desk
2020-09-08,Tid_364,StructId_4,165,ActiveBank EU,Agr_id57,Pool,csa_1,csa_8,2029-07-15,2029-07-15,2020-09-07,3099216.139666412,0,Rates Desk
2020-09-08,Tid_146,StructId_6,121,ActiveBank Singapore,Agr_id35,Pool,csa_5,csa_3,2036-03-30,2036-03-30,2020-09-07,8344415.301436741,0,Rates Desk
2020-09-08,Tid_206,StructId_6,245,ActiveBank EU,Agr_id28,Pool,csa_3,csa_7,2038-02-09,2038-02-09,2020-09-07,6642679.262573808,0,Equity Desk
2020-09-08,Tid_83,StructId_3,140,ActiveBank EU,Agr_id36,Pool,csa_5,csa_4,2037-05-16,2037-05-16,2020-09-07,8919729.365054937,0,Equity Desk
2020-09-08,Tid_1,StructId_1,3,ActiveBank EU,Agr_id12,Pool,csa_7,csa_8,2037-04-27,2046-02-23,2020-09-07,4755530.826443307,0,xVA Desk
2020-09-08,Tid_702,StructId_2,64,ActiveBank EU,Agr_id2,Pool,csa_2,csa_2,2036-09-17,2036-09-17,2020-09-07,1290154.4055950453,0,xVA Desk
2020-09-08,Tid_717,StructId_17,9,ActiveBank EU,Agr_id14,Pool,csa_3,csa_8,2024-12-06,2027-06-14,2020-09-07,18346.24387866968,0,Rates Desk
2020-09-08,Tid_660,StructId_0,80,ActiveBank EU,,Pool,csa_7,csa_2,2025-05-24,2025-05-24,2020-09-07,5223283.476038547,0,Commodities Desk
2020-09-08,Tid_618,StructId_18,194,ActiveBank EU,,Pool,csa_6,csa_6,2026-06-05,2031-09-06,2020-09-07,1020411.53042859,0,xVA Desk
2020-09-08,Tid_570,StructId_10,55,ActiveBank Singapore,Agr_id17,Pool,csa_5,csa_6,2041-03-17,2041-03-17,2020-09-07,1332334.7744648685,0,Rates Desk
2020-09-08,Tid_736,StructId_16,278,ActiveBank EU,Agr_id62,Pool,csa_1,csa_7,2022-09-04,2022-09-04,2020-09-07,2511933.9275960526,0,Equity Desk
2020-09-08,Tid_253,StructId_13,77,ActiveBank Singapore,Agr_id61,Pool,csa_8,csa_5,2049-07-07,2049-07-07,2020-09-07,498101.6700829011,0,Equity Desk
2020-09-08,Tid_499,StructId_19,64,ActiveBank EU,Agr_id11,Pool,csa_8,csa_6,2020-09-29,2024-11-17,2020-09-07,6563388.693566862,0,xVA Desk
2020-09-08,Tid_249,StructId_9,147,ActiveBank EU,Agr_id22,Pool,csa_3,csa_1,2022-12-14,2022-12-14,2020-09-07,7270167.491990771,0,Equity Desk
2020-09-08,Tid_164,StructId_4,136,ActiveBank EU,Agr_id35,Pool,csa_0,csa_3,2033-02-05,2033-02-05,2020-09-07,948827.470301692,0,Rates Desk
2020-09-08,Tid_386,StructId_6,225,ActiveBank EU,Agr_id24,Pool,csa_7,csa_2,2022-05-25,2022-05-25,2020-09-07,7223281.878617482,0,Rates Desk
2020-09-08,Tid_73,StructId_13,181,ActiveBank Singapore,Agr_id41,Pool,csa_4,csa_4,2044-07-13,2047-03-15,2020-09-07,9060579.89238195,0,Equity Desk
2020-09-08,Tid_138,StructId_18,261,ActiveBank EU,Agr_id16,Pool,csa_7,csa_1,2032-09-22,2032-09-22,2020-09-07,3379445.390913537,0,Equity Desk
2020-09-08,Tid_385,StructId_5,58,ActiveBank EU,Agr_id28,Pool,csa_1,csa_1,2038-06-08,2038-06-08,2020-09-07,4558114.285125355,0,Equity Desk
2020-09-08,Tid_276,StructId_16,60,ActiveBank EU,Agr_id39,Pool,csa_4,csa_9,2047-12-19,2047-12-19,2020-09-07,8358250.447093739,0,Commodities Desk
2020-09-08,Tid_62,StructId_2,63,ActiveBank EU,Agr_id4,Pool,csa_2,csa_4,2034-07-27,2034-07-27,2020-09-07,1577761.6264601424,0,Equity Desk
2020-09-08,Tid_247,StructId_7,33,ActiveBank EU,Agr_id23,Pool,csa_5,csa_0,2026-12-09,2026-12-09,2020-09-07,5229173.3720394205,0,xVA Desk
2020-09-08,Tid_525,StructId_5,101,ActiveBank EU,,Pool,csa_4,csa_4,2043-12-18,2043-12-18,2020-09-07,3840784.3092891015,0,Commodities Desk
2020-09-08,Tid_2,StructId_2,191,ActiveBank EU,Agr_id45,Pool,csa_7,csa_8,2030-11-13,2043-04-08,2020-09-07,6238613.188351098,0,Commodities Desk
2020-09-08,Tid_485,StructId_5,87,ActiveBank EU,Agr_id30,Pool,csa_0,csa_8,2027-09-13,2027-09-13,2020-09-07,6353149.833853947,0,xVA Desk
2020-09-08,Tid_195,StructId_15,277,ActiveBank US,,Pool,csa_6,csa_2,2047-04-05,2047-04-05,2020-09-07,9042583.516057028,0,xVA Desk
2020-09-08,Tid_287,StructId_7,228,ActiveBank EU,Agr_id32,Pool,csa_4,csa_2,2021-12-15,2021-12-15,2020-09-07,391559.15607836936,0,xVA Desk
2020-09-08,Tid_688,StructId_8,43,ActiveBank EU,,Pool,csa_9,csa_2,2042-03-17,2042-03-17,2020-09-07,6598867.009609347,0,Equity Desk
2020-09-08,Tid_127,StructId_7,121,ActiveBank US,,Pool,csa_3,csa_9,2047-05-16,2047-05-16,2020-09-07,783977.2917224441,0,Commodities Desk
2020-09-08,Tid_537,StructId_17,215,ActiveBank EU,Agr_id27,Pool,csa_8,csa_8,2022-11-28,2040-07-21,2020-09-07,1728437.2538869595,0,xVA Desk
2020-09-08,Tid_559,StructId_19,4,ActiveBank EU,Agr_id49,Pool,csa_2,csa_7,2020-10-06,2038-04-30,2020-09-07,9459591.963226616,0,xVA Desk
2020-09-08,Tid_415,StructId_15,46,ActiveBank EU,Agr_id2,Pool,csa_3,csa_0,2041-04-12,2048-10-14,2020-09-07,8613596.089266239,0,Commodities Desk
2020-09-08,Tid_563,StructId_3,208,ActiveBank US,Agr_id3,Pool,csa_3,csa_0,2042-04-22,2042-04-22,2020-09-07,9592801.316676289,0,xVA Desk
2020-09-08,Tid_120,StructId_0,74,ActiveBank EU,Agr_id33,Pool,csa_4,csa_9,2023-07-01,2023-07-01,2020-09-07,6153122.341026291,0,Commodities Desk
2020-09-08,Tid_414,StructId_14,226,ActiveBank US,Agr_id55,Pool,csa_1,csa_4,2025-06-19,2025-06-19,2020-09-07,847683.5808587902,0,Equity Desk
2020-09-08,Tid_29,StructId_9,79,ActiveBank EU,Agr_id9,Pool,csa_9,csa_3,2042-06-17,2042-06-17,2020-09-07,179828.93881898775,0,Rates Desk
2020-09-08,Tid_63,StructId_3,194,ActiveBank US,Agr_id29,Pool,csa_5,csa_5,2023-04-24,2023-04-24,2020-09-07,6614840.702507626,0,xVA Desk
2020-09-08,Tid_47,StructId_7,82,ActiveBank EU,Agr_id38,Pool,csa_7,csa_4,2024-07-01,2036-06-12,2020-09-07,7035811.10121375,0,xVA Desk
2020-09-08,Tid_462,StructId_2,42,ActiveBank EU,Agr_id64,Pool,csa_7,csa_6,2030-10-26,2030-10-26,2020-09-07,3304885.0551308263,0,Equity Desk
2020-09-08,Tid_337,StructId_17,280,ActiveBank EU,,Pool,csa_4,csa_5,2039-05-13,2039-05-13,2020-09-07,4950979.1715428345,0,xVA Desk
2020-09-08,Tid_706,StructId_6,8,ActiveBank Singapore,Agr_id38,Pool,csa_0,csa_1,2031-02-27,2031-02-27,2020-09-07,9262799.464480266,0,Equity Desk
2020-09-08,Tid_407,StructId_7,4,ActiveBank Singapore,Agr_id60,Pool,csa_2,csa_8,2034-08-12,2034-08-12,2020-09-07,3058.201113781412,0,Equity Desk
2020-09-08,Tid_610,StructId_10,65,ActiveBank EU,Agr_id23,Pool,csa_1,csa_5,2048-06-07,2048-06-07,2020-09-07,9092867.009233596,0,Commodities Desk
2020-09-08,Tid_690,StructId_10,150,ActiveBank EU,Agr_id24,Pool,csa_6,csa_8,2025-01-13,2025-01-13,2020-09-07,7332077.922515742,0,Equity Desk
2020-09-08,Tid_68,StructId_8,121,ActiveBank Singapore,Agr_id29,Pool,csa_0,csa_3,2035-09-27,2035-09-27,2020-09-07,6863893.122730839,0,Rates Desk
2020-09-08,Tid_234,StructId_14,139,ActiveBank EU,Agr_id32,Pool,csa_0,csa_2,2047-09-18,2047-09-18,2020-09-07,7446125.069125589,0,Commodities Desk
2020-09-08,Tid_741,StructId_1,231,ActiveBank Singapore,Agr_id57,Pool,csa_3,csa_1,2025-08-17,2049-03-01,2020-09-07,1017356.6886076512,0,Commodities Desk
2020-09-08,Tid_366,StructId_6,150,ActiveBank EU,,Pool,csa_7,csa_1,2029-09-20,2029-09-20,2020-09-07,272369.17625702906,0,Rates Desk
2020-09-08,Tid_91,StructId_11,252,ActiveBank EU,Agr_id39,Pool,csa_3,csa_1,2046-09-25,2049-05-26,2020-09-07,8590201.68225469,0,Equity Desk
2020-09-08,Tid_681,StructId_1,198,ActiveBank US,Agr_id48,Pool,csa_0,csa_0,2027-07-21,2027-07-21,2020-09-07,7077410.789741712,0,xVA Desk
2020-09-08,Tid_500,StructId_0,30,ActiveBank Singapore,Agr_id30,Pool,csa_8,csa_2,2028-08-15,2048-11-11,2020-09-07,2441493.413782628,0,xVA Desk
2020-09-08,Tid_361,StructId_1,142,ActiveBank Singapore,Agr_id61,Pool,csa_2,csa_3,2031-12-08,2031-12-08,2020-09-07,5351337.844240368,0,xVA Desk
2020-09-08,Tid_372,StructId_12,33,ActiveBank EU,Agr_id46,Pool,csa_0,csa_9,2025-05-21,2025-05-21,2020-09-07,8335016.155603984,0,Equity Desk
2020-09-08,Tid_744,StructId_4,93,ActiveBank EU,Agr_id4,Pool,csa_7,csa_0,2035-02-15,2043-04-03,2020-09-07,3072185.922522716,0,xVA Desk
2020-09-08,Tid_25,StructId_5,282,ActiveBank EU,Agr_id20,Pool,csa_9,csa_7,2036-08-02,2040-07-20,2020-09-07,5367647.835428563,0,Equity Desk
2020-09-08,Tid_625,StructId_5,128,ActiveBank EU,Agr_id10,Pool,csa_4,csa_4,2027-05-28,2027-05-28,2020-09-07,8692595.010747697,0,Equity Desk
2020-09-08,Tid_695,StructId_15,179,ActiveBank Singapore,Agr_id67,Pool,csa_9,csa_8,2034-02-17,2034-09-17,2020-09-07,2389644.231655799,0,xVA Desk
2020-09-08,Tid_413,StructId_13,12,ActiveBank EU,Agr_id30,Pool,csa_9,csa_8,2026-06-25,2037-09-19,2020-09-07,2150642.0804703617,0,Rates Desk
2020-09-08,Tid_663,StructId_3,9,ActiveBank EU,Agr_id42,Pool,csa_9,csa_7,2033-06-13,2039-11-09,2020-09-07,1698075.963130663,0,Rates Desk
2020-09-08,Tid_624,StructId_4,98,ActiveBank EU,,Pool,csa_1,csa_4,2023-10-14,2032-12-18,2020-09-07,4801676.98292606,0,xVA Desk
2020-09-08,Tid_173,StructId_13,88,ActiveBank EU,Agr_id68,Pool,csa_6,csa_2,2042-03-05,2042-03-05,2020-09-07,4157445.960649234,0,Equity Desk
2020-09-08,Tid_133,StructId_13,125,ActiveBank EU,,Pool,csa_8,csa_5,2041-03-08,2049-05-07,2020-09-07,7140685.0637118295,0,Rates Desk
2020-09-08,Tid_128,StructId_8,211,ActiveBank EU,Agr_id62,Pool,csa_0,csa_2,2020-10-18,2020-12-27,2020-09-07,527012.4888262984,0,Rates Desk
2020-09-08,Tid_716,StructId_16,34,ActiveBank EU,Agr_id0,Pool,csa_0,csa_1,2038-01-03,2038-04-23,2020-09-07,3107676.3628083672,0,xVA Desk
2020-09-08,Tid_106,StructId_6,197,ActiveBank US,Agr_id6,Pool,csa_9,csa_6,2025-06-17,2027-05-24,2020-09-07,3191167.861247145,0,xVA Desk
2020-09-08,Tid_64,StructId_4,6,ActiveBank EU,Agr_id16,Pool,csa_4,csa_5,2021-01-14,2022-05-26,2020-09-07,6210955.388827616,0,xVA Desk
