Class,edge_purchases,ep,ep2,id,n_purchases,solo_purchases
2,66,0.5319148936170213,0.9741935483870968,67130910,141,75
1,523,0.4877571008814887,0.9305835010060363,67901421,1021,498
0,766,0.16648531011969533,0.22395833333333334,70645722,919,153
1,498,0.37279596977329976,0.8209302325581396,70748454,794,296
1,3836,0.27362241999621284,0.6767431597528685,82008925,5281,1445
1,38,0.4864864864864865,0.9147286821705426,80125952,74,36
1,1443,0.3957286432160804,0.8673894912427023,70607054,2388,945
0,3151,0.1252082176568573,0.13833199679230151,79785265,3602,451
0,86,0.054945054945054944,0.125,80124318,91,5
0,162,0.06358381502890173,0.1588089330024814,80124424,173,11
1,98,0.26865671641791045,0.605,82065189,134,36
2,291,0.5221674876847291,0.8617511520737328,69514214,609,318
1,350,0.4556765163297045,0.8880778588807786,62511512,643,293
2,12,0.7391304347826086,0.9333333333333333,66114125,46,34
2,0,1.0,1.0,80162136,54,54
1,52,0.36585365853658536,0.8064516129032258,69604983,82,30
0,162,0.16923076923076924,0.4672686230248307,70649726,195,33
1,721,0.2642857142857143,0.5472088215024121,70623833,980,259
0,115,0.09448818897637795,0.1453900709219858,72545802,127,12
0,73,0.013513513513513514,0.028708133971291867,72545935,74,1
0,40,0.14893617021276595,0.30434782608695654,72546243,47,7
0,47,0.0784313725490196,0.125,72546614,51,4
1,10,0.2857142857142857,0.5675675675675675,72946370,14,4
1,1370,0.2521834061135371,0.5105051408135897,74355785,1832,462
1,79,0.3629032258064516,0.6666666666666666,79849056,124,45
0,729,0.14536928487690504,0.4159702878365831,70649110,853,124
1,4258,0.2749872296952154,0.5453563714902808,69225744,5873,1615
2,1215,0.7238636363636364,0.9508670520231214,62482266,4400,3185
0,96,0.2440944881889764,0.4685714285714286,68283124,127,31
0,1100,0.2069214131218457,0.37362637362637363,80118624,1387,287
1,2494,0.2747891829020064,0.6012731481481481,80118627,3439,945
2,839,0.7378944079975008,0.9478584729981379,65966012,3201,2362
2,2317,0.7341975450269588,0.9548577036310107,62819722,8717,6400
2,106,0.6954022988505747,0.8235294117647058,69996633,348,242
2,82,0.6038647342995169,0.7402597402597403,66061275,207,125
2,16613,0.6535132542181993,0.9593413295385241,66279724,47947,31334
1,4462,0.39027056572834107,0.823045267489712,80124966,7318,2856
1,117,0.23529411764705882,0.5675675675675675,80140111,153,36
0,834,0.18792599805258034,0.32916666666666666,80141464,1027,193
1,210,0.45595854922279794,0.8404255319148937,80124832,386,176
2,625,0.7136967475950526,0.975485188968335,66838912,2183,1558
1,815,0.3179916317991632,0.6595092024539877,64260581,1195,380
1,103,0.38323353293413176,0.768595041322314,65256646,167,64
1,5583,0.26924083769633506,0.530257639304973,67610620,7640,2057
1,6757,0.40314459853369844,0.859406337745688,67641273,11321,4564
0,3393,0.2327001356852103,0.45675764551134496,68010985,4422,1029
0,1909,0.15791795324217026,0.32558139534883723,69701254,2267,358
0,3645,0.1742183960126869,0.2707092582566324,70282170,4414,769
1,1057,0.47097097097097096,0.921405750798722,73848726,1998,941
1,7039,0.3447826491668994,0.7737095664143152,80119198,10743,3704
1,1040,0.2929979605710401,0.5975155279503106,80127520,1471,431
0,245,0.24382716049382716,0.39543726235741444,82152758,324,79
0,2734,0.13835486920895051,0.18581501451679802,69961066,3173,439
2,7416,0.6281215525022565,0.9296776894097949,68649616,19942,12526
1,2182,0.32529375386518244,0.6295264623955432,80090003,3234,1052
1,3210,0.4882015306122449,0.8879037365421153,80090073,6272,3062
1,4216,0.27134462495679224,0.6143667296786389,70178486,5786,1570
0,6277,0.20854873282057748,0.41910403554239173,70178500,7931,1654
0,25362,0.17829256439332578,0.31175556706369756,64421812,30865,5503
0,22541,0.1866565634697265,0.3545940355111188,70178472,27714,5173
1,1108,0.2828478964401295,0.5838068181818182,80124967,1545,437
0,8741,0.13369672943508423,0.18019337825959567,80128835,10090,1349
1,158,0.34439834024896265,0.6928571428571428,80124969,241,83
2,141,0.5236486486486487,0.9027777777777778,75417440,296,155
0,28,0.17647058823529413,0.1,67244086,34,6
1,3083,0.27133065469156226,0.5490066225165563,75416831,4231,1148
1,3771,0.4719226999019745,0.8833157338965153,75417104,7141,3370
0,992,0.11507582515611062,0.08419243986254296,78723113,1121,129
1,955,0.3222143364088006,0.6146645865834633,68017005,1409,454
1,209,0.45714285714285713,0.5846994535519126,80090290,385,176
1,4235,0.3863208230691204,0.7027027027027027,70716912,6901,2666
2,17,0.7901234567901234,0.9473684210526315,66750201,81,64
2,1835,0.5384808853118712,0.888034188034188,67694655,3976,2141
2,1861,0.7225700655933214,0.9423692636072573,62831153,6708,4847
1,53,0.3026315789473684,0.625,66493224,76,23
1,1746,0.48312611012433393,0.8769771528998243,80168351,3378,1632
2,108,0.7127659574468085,0.8492063492063492,66749571,376,268
1,10940,0.31445043238501064,0.6837097003266581,70857241,15958,5018
1,3576,0.2713936430317848,0.617692907248636,80140119,4908,1332
0,637,0.1483957219251337,0.24761904761904763,80140125,748,111
2,403,0.7038941954445261,0.9672364672364673,69205710,1361,958
1,4318,0.40383818859588566,0.8019296254256527,80118612,7243,2925
2,3,0.9,0.8571428571428571,69547695,30,27
1,1644,0.26900844819919967,0.5363214837712519,63838775,2249,605
1,1896,0.3439446366782007,0.6842639593908629,75416523,2890,994
2,3,0.5714285714285714,0.0,65950353,7,4
1,22462,0.2543734439834025,0.5451127819548872,65404885,30125,7663
1,4674,0.2812548054743964,0.5769689737470167,80118613,6503,1829
1,1518,0.3065326633165829,0.5725429017160687,80118614,2189,671
2,757,0.7550954383694597,0.9508196721311475,68365150,3091,2334
2,1772,0.5129191863661352,0.9090143218197135,80134983,3638,1866
1,3871,0.32218525652250046,0.6555834378920954,80089996,5711,1840
2,417,0.5128504672897196,0.9596864501679732,69639290,856,439
0,402,0.09049773755656108,0.15021459227467812,67792844,442,40
1,713,0.3254493850520341,0.7055655296229802,73852681,1057,344
2,1031,0.7285413375460769,0.9203910614525139,70862232,3798,2767
1,4094,0.29559532002752925,0.6565562295846944,70178493,5812,1718
1,2390,0.24223208623969564,0.5270137524557956,73637480,3154,764
2,726,0.6320324379118094,0.9698681732580038,68586686,1973,1247
0,7875,0.1830065359477124,0.3471620697515386,65915983,9639,1764
0,4971,0.09420553935860058,0.10705510705510705,73700634,5488,517
0,1870,0.1809023215067893,0.3174858984689766,73637515,2283,413
2,371,0.705087440381558,0.8616071428571429,65949142,1258,887
1,2470,0.3855721393034826,0.8364159473900534,80125009,4020,1550
2,3357,0.7778145476206235,0.9620090148100451,65965592,15109,11752
2,207,0.7104895104895105,0.8923076923076924,80089744,715,508
1,1004,0.378328173374613,0.6062992125984252,68384302,1615,611
2,176,0.6555772994129159,0.8254716981132075,66062255,511,335
2,136,0.6844547563805105,0.8048780487804879,70121905,431,295
2,682,0.6229961304588171,0.9636552440290758,68586896,1809,1127
2,309,0.6811145510835913,0.8859060402684564,66827082,969,660
2,475,0.5605920444033302,0.8013029315960912,68620706,1081,606
1,1573,0.498085513720485,0.8494623655913979,82009345,3134,1561
2,373,0.6266266266266266,0.7658536585365854,65948925,999,626
2,457,0.5107066381156317,0.8270944741532977,66283056,934,477
1,2855,0.366540936321278,0.8130986280093192,69166573,4507,1652
0,172,0.23893805309734514,0.38738738738738737,69489315,226,54
1,2297,0.34221076746849943,0.7559027777777778,69617940,3492,1195
1,13525,0.27288855437879683,0.546684940894295,69705223,18601,5076
1,321,0.2620689655172414,0.5243243243243243,69705265,435,114
0,884,0.09146968139773895,0.1095890410958904,69705293,973,89
0,14063,0.15780332974008862,0.22458222708105577,69705314,16698,2635
1,1349,0.36785379568884724,0.8200946870068385,70657720,2134,785
1,1106,0.3341360626128838,0.632398753894081,71752870,1661,555
1,1971,0.40507093268940536,0.864251968503937,74355792,3313,1342
1,658,0.29094827586206895,0.5399305555555556,74555040,928,270
0,764,0.2382851445663011,0.44058205335489087,80105774,1003,239
2,491,0.5341555977229602,0.9658356417359187,82036044,1054,563
0,1061,0.1429725363489499,0.2131844763423711,72900296,1238,177
0,1088,0.09484193011647254,0.10597519729425028,72900303,1202,114
0,960,0.12168344007319305,0.1618084473527662,72900310,1093,133
0,2029,0.1615702479338843,0.2670640834575261,80116673,2420,391
1,1168,0.3518312985571587,0.8066732090284593,80128633,1802,634
0,5010,0.2101529244836828,0.3889496717724289,58862664,6343,1333
1,2010,0.4095182138660399,0.8816110659072417,65934400,3404,1394
0,1721,0.06821873308067136,0.11373092926490985,66817366,1847,126
0,4016,0.19519038076152304,0.34287945847435564,66817373,4990,974
0,2956,0.16473580107374966,0.24086845466155812,68535586,3539,583
1,1687,0.33240997229916897,0.7110868377935554,69662026,2527,840
0,2989,0.13211382113821138,0.14747899159663866,80127895,3444,455
0,39,0.1702127659574468,0.19,82062467,47,8
0,26509,0.19457357275240786,0.3361992291728432,72748886,32913,6404
0,19647,0.2194899094231686,0.4143059490084986,72748900,25172,5525
1,1647,0.26767452200978215,0.5592156862745098,73756816,2249,602
1,366,0.31203007518796994,0.7658998646820027,63099813,532,166
1,242,0.4634146341463415,0.9223300970873787,68217800,451,209
2,242,0.65625,0.9866369710467706,74046063,704,462
1,1719,0.3145933014354067,0.7451851851851852,67627000,2508,789
1,233,0.28307692307692306,0.5978062157221207,69184423,325,92
1,1911,0.2994868035190616,0.6469262954618603,70628726,2728,817
1,470,0.23452768729641693,0.5739130434782609,68540570,614,144
1,8620,0.3670607239885454,0.8184417441029307,67168493,13619,4999
0,8486,0.18364598364598364,0.3399858707170611,80180384,10395,1909
0,3422,0.14214088744046127,0.1975,80180385,3989,567
0,968,0.23659305993690852,0.40134228187919463,70254296,1268,300
1,1060,0.3851508120649652,0.7998472116119175,68401382,1724,664
1,481,0.38491048593350385,0.8491859468723222,81971143,782,301
1,312,0.40344168260038243,0.8401898734177216,69108725,523,211
0,2013,0.18765133171912832,0.30158102766798417,69607860,2478,465
0,217,0.20512820512820512,0.47739602169981915,80098641,273,56
1,8997,0.40824782951854777,0.8779342723004695,64239000,15204,6207
1,3146,0.272264631043257,0.6474801061007958,66409630,4323,1177
1,23208,0.25772404528881215,0.5228470242722639,67286716,31266,8058
0,945,0.22794117647058823,0.40997830802603036,70640990,1224,279
1,5367,0.35173330112332407,0.7797131147540983,70676326,8279,2912
1,4644,0.3172596295207292,0.7506121680165756,69588386,6802,2158
1,35522,0.3494377495329841,0.799478978218395,70691110,54602,19080
0,306,0.11046511627906977,0.07712765957446809,61400941,344,38
0,92,0.16363636363636364,0.2328767123287671,65330671,110,18
1,5199,0.23091715976331362,0.5128493414712496,68239885,6760,1561
0,9691,0.09817606551274893,0.14200622715581426,70219674,10746,1055
2,697,0.7378713802181271,0.9958333333333333,80127530,2659,1962
1,427,0.3598200899550225,0.8435643564356435,60026603,667,240
0,1988,0.20352564102564102,0.38043869111830275,68544392,2496,508
1,977,0.451123595505618,0.9096244131455399,70409815,1780,803
0,2305,0.1350844277673546,0.15202801283921796,80130312,2665,360
1,11424,0.24970445290949692,0.571712730318258,62414996,15226,3802
0,594,0.2365038560411311,0.48208191126279865,74554452,778,184
2,612,0.5555555555555556,0.9758883248730964,63495376,1377,765
2,3478,0.5061763453073974,0.95173417414504,66644641,7043,3565
0,4958,0.08658806190125276,0.06916588566073102,68539324,5428,470
0,8271,0.06213856446309105,0.0310407790626902,68539331,8819,548
1,161,0.22596153846153846,0.6170212765957447,69733566,208,47
0,3377,0.19210526315789472,0.36512455516014236,70532812,4180,803
0,216,0.22857142857142856,0.4329268292682927,71389143,280,64
0,2425,0.18459986550100874,0.3236884802595998,80116666,2974,549
1,2368,0.30291433617898145,0.7011294526498697,80118151,3397,1029
1,4053,0.2674859931321164,0.5973616853711361,80119293,5533,1480
0,3973,0.23859716366423916,0.4995700773860705,81976684,5218,1245
1,351,0.3641304347826087,0.8230088495575221,68384526,552,201
1,192,0.3943217665615142,0.8613636363636363,68511996,317,125
1,431183,0.36459074759317467,0.7845864514359597,329070,678591,247408
0,1043,0.15819209039548024,0.23235685752330226,68545540,1239,196
2,1125,0.537227478403949,0.9594137542277339,73503290,2431,1306
1,1172,0.28840315725561627,0.6510989010989011,80111353,1647,475
1,154,0.33905579399141633,0.8097686375321337,67553962,233,79
1,1319,0.4736632083000798,0.9092247301275761,69840750,2506,1187
0,3671,0.07039756900481134,0.13260160189854642,67837952,3949,278
0,1289,0.041635687732342004,0.047953216374269005,70001043,1345,56
0,2555,0.07326804497642365,0.1554730983302412,70001260,2757,202
1,312,0.2909090909090909,0.6899862825788752,68763765,440,128
1,372,0.30206378986866794,0.727177334732424,68763856,533,161
2,2245,0.5831786112142592,0.989247311827957,70178612,5386,3141
1,1170,0.39030745179781134,0.873117033603708,65984163,1919,749
1,2074,0.30332549546523346,0.7048442906574395,65984226,2977,903
1,1429,0.301564027370479,0.6793321819228555,80125350,2046,617
2,1006,0.5669393026259147,0.970242214532872,82041315,2323,1317
0,603,0.20866141732283464,0.4013709063214014,70841442,762,159
0,1157,0.19652777777777777,0.37320574162679426,68543706,1440,283
1,391,0.2759259259259259,0.6157480314960629,70800345,540,149
0,23119,0.24227327848972502,0.4930528375733855,68385996,30511,7392
0,624,0.1746031746031746,0.27853403141361255,68545561,756,132
0,553,0.16966966966966968,0.27376861397479957,68545575,666,113
1,54,0.39325842696629215,0.8487394957983193,64196055,89,35
1,1050,0.23802612481857766,0.5376513954713007,66930990,1378,328
1,1745,0.46912077882567693,0.9320754716981132,70070441,3287,1542
0,1397,0.16547192353643966,0.26820908311910885,70841596,1674,277
1,1592,0.22905569007263923,0.5186915887850467,80112032,2065,473
1,1109,0.33632555356074206,0.7106382978723405,65874683,1671,562
1,324,0.3002159827213823,0.6377025036818851,70110355,463,139
1,1341,0.4375,0.8813559322033898,70112056,2384,1043
1,12414,0.4181119340020624,0.8918738156281351,70607922,21334,8920
0,768,0.2090628218331617,0.47528981086028066,80118451,971,203
1,1870,0.26867422761048104,0.6205645161290323,80125506,2557,687
0,1740,0.23076923076923078,0.4746506986027944,69130243,2262,522
0,762,0.15521064301552107,0.21751216122307157,63277620,902,140
0,2970,0.10461260174856798,0.11119266055045872,65299696,3317,347
0,520,0.09722222222222222,0.1205298013245033,68539933,576,56
0,1235,0.08178438661710037,0.06534422403733955,69622056,1345,110
1,3027,0.3006007393715342,0.7261066398390342,80124643,4328,1301
1,924,0.3972602739726027,0.8680722891566265,72953706,1533,609
0,2595,0.22951306413301661,0.4759791122715405,82011772,3368,773
2,257,0.6380281690140845,0.9941747572815534,82018853,710,453
2,2152,0.7245616280558044,0.9926590538336052,62690390,7813,5661
1,406,0.24675324675324675,0.532133676092545,68533290,539,133
1,243,0.25,0.6130346232179226,68533661,324,81
0,231,0.1348314606741573,0.17307692307692307,68533892,267,36
1,622,0.3452631578947368,0.8145922746781116,69176800,950,328
1,1093,0.4357253484770263,0.9449591280653951,70643503,1937,844
1,3111,0.32251742160278746,0.7585673795413553,68945842,4592,1481
0,509,0.08944543828264759,0.07628128724672228,70071015,559,50
0,519,0.08947368421052632,0.0713436385255648,70071036,570,51
1,6776,0.31974701335207306,0.7349452554744526,69092226,9961,3185
1,413,0.43424657534246575,0.9097320169252469,80004015,730,317
1,1718,0.2536924413553432,0.6356435643564357,76500690,2302,584
0,112,0.23809523809523808,0.4163568773234201,80108693,147,35
1,1133,0.28697293895531784,0.615592609283461,80124124,1589,456
1,237,0.3247863247863248,0.7313664596273292,69177542,351,114
1,543,0.3378048780487805,0.8121263877028181,69180706,820,277
1,1629,0.23124115148655025,0.5868388171595169,63028686,2119,490
0,1542,0.19140010487676978,0.30368663594470047,67145862,1907,365
2,762,0.5071151358344114,0.9364575059571089,60984161,1546,784
1,1547,0.3966458658346334,0.8530915853091585,80153456,2564,1017
1,642,0.3305526590198123,0.8198198198198198,66425744,959,317
1,434,0.46878824969400246,0.9646739130434783,69091624,817,383
1,565,0.29197994987468673,0.7128205128205128,67555103,798,233
1,12686,0.25067926757235676,0.5436033133916245,80130304,16930,4244
1,2131,0.30245499181669394,0.6552399608227228,80180456,3055,924
0,537,0.16873065015479877,0.283657917019475,82058185,646,109
0,830,0.18065153010858837,0.30828025477707005,82058186,1013,183
0,3299,0.12120404901438465,0.22578490313961255,80116736,3754,455
0,4382,0.2026928675400291,0.45851272015655575,64929256,5496,1114
1,1594,0.26442085832948775,0.6308617234468938,69590535,2167,573
1,263,0.36930455635491605,0.7915966386554621,82106949,417,154
1,1163,0.2611181702668361,0.5734383792909398,80109393,1574,411
1,741,0.21587301587301588,0.5056374674761491,68541186,945,204
1,2528,0.3771864991377186,0.8559810233819044,67262041,4059,1531
1,1067,0.41598248494800216,0.8828883495145631,80153457,1827,760
1,2400,0.30313588850174217,0.5969191270860077,80127524,3444,1044
1,682,0.2546448087431694,0.5957910014513788,80125286,915,233
1,2870,0.3213525656183495,0.7451323015476785,67865371,4229,1359
1,1010,0.2518518518518518,0.5893060295790671,71783733,1350,340
0,7832,0.04951456310679612,0.025477707006369428,67706485,8240,408
1,1346,0.30403309203722856,0.6625891946992865,67706835,1934,588
1,67363,0.32147785533697965,0.7236692375774434,70484316,99279,31916
0,2910,0.22688629117959616,0.4961453744493392,80130311,3764,854
0,3085,0.19430660746931314,0.30618602581219406,68954711,3829,744
1,149,0.3686440677966102,0.8894009216589862,70618485,236,87
1,294,0.3033175355450237,0.7155688622754491,70618492,422,128
0,3515,0.07157950343370312,0.056830215319449345,67706401,3786,271
1,339,0.37105751391465674,0.8448500651890483,65847901,539,200
1,273,0.3,0.5924006908462867,82021923,390,117
1,18373,0.3024677296886864,0.6791725105189341,80121874,26340,7967
1,1459,0.3923365264473136,0.8483389504092441,67199265,2401,942
0,4754,0.07886068591358264,0.07352128247650636,67706583,5161,407
1,1107,0.34613112817483754,0.781888459414688,67994976,1693,586
1,1175,0.37994722955145116,0.7985690698954321,70632492,1895,720
0,95,0.20833333333333334,0.3768844221105528,695520,120,25
1,353,0.28830645161290325,0.7332535885167464,64369655,496,143
1,23926,0.2703040653877825,0.6585206375153249,70691145,32789,8863
1,424,0.38011695906432746,0.8877419354838709,70626822,684,260
2,2017,0.6044322416160032,0.9929863418235512,80109365,5099,3082
1,870,0.39625260235947257,0.8910675381263616,68131784,1441,571
1,156,0.2909090909090909,0.6078431372549019,70179543,220,64
1,311,0.2850574712643678,0.5526838966202783,70179585,435,124
1,144,0.2835820895522388,0.608,81956120,201,57
0,113,0.16911764705882354,0.22727272727272727,81956121,136,23
0,135,0.21511627906976744,0.3864734299516908,81956123,172,37
2,38,0.6237623762376238,0.98,69585691,101,63
1,796,0.17255717255717257,0.5361356932153393,80165693,962,166
0,3528,0.16477272727272727,0.2789135514018692,60579022,4224,696
0,5178,0.15681485100146556,0.22101090188305253,67706660,6141,963
1,8208,0.24042198778456414,0.5945531914893617,70691236,10806,2598
1,1860,0.4214618973561431,0.8912495498739648,82152820,3215,1355
0,390,0.21686746987951808,0.43047034764826175,68237813,498,108
0,2652,0.11036564911103657,0.115736885928393,67706702,2981,329
1,5091,0.25959860383944156,0.5264019647973802,67706905,6876,1785
0,1394,0.11492063492063492,0.1485371342835709,68563866,1575,181
1,467,0.28810975609756095,0.7512254901960784,78921444,656,189
0,746,0.1891304347826087,0.3822784810126582,68538176,920,174
1,2155,0.3592030924769551,0.8162042875157629,60508882,3363,1208
1,424,0.3116883116883117,0.6922357343311506,82008906,616,192
0,362,0.24583333333333332,0.4622356495468278,82116582,480,118
1,25163,0.43793696531081777,0.8907433380084151,64506022,44769,19606
1,170,0.27350427350427353,0.588477366255144,69724116,234,64
0,9623,0.19046016656852024,0.33978618896272755,69600951,11887,2264
1,1349,0.29186351706036745,0.6622114216281896,80130306,1905,556
1,374,0.35517241379310344,0.8111979166666666,70252924,580,206
0,1093,0.21928571428571428,0.47739602169981915,78235661,1400,307
0,1679,0.1650919940328195,0.2884415133634155,80119391,2011,332
1,1199,0.29883040935672517,0.6753794266441822,68211710,1710,511
0,880,0.21777777777777776,0.3654618473895582,70729484,1125,245
1,1811,0.2945072068562524,0.6659101225601453,80111304,2567,756
1,506,0.27089337175792505,0.5644768856447688,80111311,694,188
1,1298,0.3564700049578582,0.8375394321766562,80125496,2017,719
1,3050,0.35789473684210527,0.8312363238512035,75893020,4750,1700
0,68,0.23595505617977527,0.4350282485875706,80109484,89,21
0,924,0.1348314606741573,0.3768939393939394,69638821,1068,144
1,4969,0.49244126659856996,0.9431426602343211,70818986,9790,4821
0,1170,0.11963882618510158,0.140625,82009374,1329,159
0,1036,0.10380622837370242,0.137664697864607,82009376,1156,120
1,84,0.4166666666666667,0.9047619047619048,69603485,144,60
0,4380,0.17962165199475558,0.2877184912603496,80130325,5339,959
0,9464,0.07197489703863502,0.047814569536423844,68539303,10198,734
0,672,0.20190023752969122,0.4151103565365025,68540514,842,170
0,8377,0.08816806356808533,0.08128449573507275,80138986,9187,810
1,3366,0.23638838475499094,0.5304286052569264,70627816,4408,1042
1,1970,0.41543026706231456,0.9259259259259259,68532471,3370,1400
1,934,0.3946856772521063,0.901685393258427,68532485,1543,609
0,1718,0.17641418983700863,0.4069335534461411,63503601,2086,368
1,6600,0.34046167682622164,0.7439824945295405,69681486,10007,3407
1,2936,0.3064020789038507,0.7270959902794654,80120442,4233,1297
1,8657,0.28282660922873004,0.6345342812387035,70841715,12071,3414
0,1745,0.0844700944386149,0.05824811027123166,67554760,1906,161
0,1762,0.06920232435287903,0.035607035607035604,67554774,1893,131
1,904,0.2644426362896664,0.6182432432432432,69056533,1229,325
0,1930,0.22271445831655257,0.4989130434782609,70643531,2483,553
0,697,0.22898230088495575,0.4843875100080064,80109820,904,207
2,392,0.5062972292191436,0.9549330085261876,69708625,794,402
0,1430,0.19977616116396194,0.4251554280248685,68534144,1787,357
0,55028,0.21491753695143526,0.4057598702001082,70484330,70092,15064
1,3053,0.27395957193816883,0.5912707981673498,80132195,4205,1152
1,707,0.32538167938931295,0.7396928051738076,67994675,1048,341
0,1386,0.20253164556962025,0.3852380952380952,68540962,1738,352
0,1074,0.2032640949554896,0.4049079754601227,81979983,1348,274
1,768,0.30997304582210244,0.6884955752212389,68191662,1113,345
1,3433,0.24299889746416758,0.501627150162715,68533073,4535,1102
1,103,0.32679738562091504,0.7781569965870307,70828492,153,50
0,912,0.15633672525439407,0.20965189873417722,70653772,1081,169
1,1112,0.33373277411623725,0.7497630331753554,63141491,1669,557
1,3187,0.2687012391005048,0.5216682958618443,70644840,4358,1171
1,861,0.3827956989247312,0.8296795952782462,67662546,1395,534
1,876,0.2946859903381642,0.6704834605597965,80180152,1242,366
0,4098,0.14088050314465408,0.2055032226078334,65291590,4770,672
0,7116,0.05044035228182546,0.020358020358020357,68534613,7494,378
1,1734,0.24967546516659456,0.5772669220945083,80121303,2311,577
0,1401,0.18213660245183888,0.3231441048034934,10120481,1713,312
1,965,0.32752613240418116,0.7747559274755927,68531890,1435,470
1,3171,0.29782993799822854,0.6928909952606636,65808330,4516,1345
1,2209,0.41140420996536103,0.897931775449906,69574631,3753,1544
1,822,0.350197628458498,0.8010362694300518,80118401,1265,443
1,2016,0.3662370323797548,0.8448023426061494,68563432,3181,1165
0,315,0.1532258064516129,0.3396648044692737,66058811,372,57
1,783,0.48790058862001306,0.9345670852610707,82104029,1529,746
0,1012,0.1298366294067068,0.15063649222065065,73818444,1163,151
1,1701,0.4437540876389797,0.9162401116798511,70120071,3058,1357
1,562,0.46116970278044106,0.9602510460251046,65360932,1043,481
1,2388,0.3648936170212766,0.8357763975155279,69608910,3760,1372
1,2728,0.23947588514078616,0.5132810523652922,72900324,3587,859
1,1981,0.4834419817470665,0.9445758702264279,80127853,3835,1854
0,8039,0.08104709647919524,0.07749447902027705,67706576,8748,709
1,506,0.31989247311827956,0.6885245901639344,67994500,744,238
1,4580,0.39225053078556266,0.8765460375629868,80110765,7536,2956
1,206,0.31788079470198677,0.6785714285714286,80111444,302,96
1,997,0.4392575928008999,0.935969868173258,70627361,1778,781
1,95,0.42424242424242425,0.875,82152819,165,70
1,188,0.4106583072100313,0.9358288770053476,69154470,319,131
1,3461,0.36773839970770916,0.8475263584752636,80110856,5474,2013
1,235,0.3543956043956044,0.7751196172248804,80109155,364,129
2,345,0.6039035591274398,0.9864130434782609,61460826,871,526
0,867,0.15249266862170088,0.2,70644903,1023,156
0,547,0.07288135593220339,0.03986710963455149,66423644,590,43
1,416,0.34072900158478603,0.8136729222520107,67159624,631,215
1,758,0.4511223750905141,0.9075757575757576,80174678,1381,623
1,6673,0.4285347263852017,0.9053966189856957,66765384,11677,5004
0,1040,0.2055003819709702,0.3821451509312781,70870912,1309,269
1,296,0.3593073593073593,0.8553345388788427,66423021,462,166
2,708,0.5664421310471525,0.9780918727915194,70178675,1633,925
1,1662,0.48751156336725254,0.9261425959780621,82036043,3243,1581
0,1501,0.20455749867514572,0.4175691937424789,66931753,1887,386
1,3284,0.28092839938690606,0.6760204081632653,69037794,4567,1283
1,4002,0.269974461875228,0.6124078624078624,80125449,5482,1480
1,2693,0.29613173026659695,0.6393040921342809,80130277,3826,1133
1,2581,0.27275288813750354,0.5667170953101361,74478334,3549,968
1,6624,0.4536456614978555,0.9081614665961573,80153449,12124,5500
0,1525,0.06096059113300493,0.10554245283018868,60542804,1624,99
0,755,0.06674907292954264,0.1621160409556314,61704083,809,54
1,8298,0.3393312101910828,0.8029141104294478,63947716,12560,4262
0,140,0.11949685534591195,0.2977941176470588,68530105,159,19
2,1,0.5,0.8571428571428571,69007890,2,1
0,295,0.07523510971786834,0.15594541910331383,69139112,319,24
0,193,0.05392156862745098,0.14457831325301204,69143333,204,11
0,402,0.0945945945945946,0.20621931260229132,69158313,444,42
0,245,0.17785234899328858,0.4028436018957346,69160105,298,53
0,46,0.11538461538461539,0.4152542372881356,70721105,52,6
1,177,0.2891566265060241,0.7294372294372294,68536412,249,72
1,230,0.31343283582089554,0.775894538606403,68536426,335,105
